epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.76778,2.17751,3.1067,2.03289,0.00677,0.6701,0.12046,0.03512,2.33218,3.12998,2.08745,0.00012,0.00012,0.00012
2,9.2056,1.82451,2.83581,1.88384,0.00906,0.89691,0.20337,0.07766,1.84756,3.14216,1.90157,0.000257426,0.000257426,0.000257426
3,11.5782,1.83691,2.28076,1.83428,0.00875,0.86598,0.28535,0.11855,1.81109,3.09906,1.81909,0.00039208,0.00039208,0.00039208
4,14.0435,1.79769,2.13082,1.75942,0.00854,0.84536,0.14483,0.0569,1.91364,3.14021,1.90447,0.000523962,0.000523962,0.000523962
5,16.3846,1.71157,1.991,1.6638,0.00748,0.45361,0.24633,0.10916,1.94545,3.07725,1.8901,0.000653072,0.000653072,0.000653072
6,21.1256,1.77204,2.07525,1.77439,0.00865,0.85567,0.2976,0.10223,1.96517,3.00675,1.91151,0.00077941,0.00077941,0.00077941
7,23.5834,1.75171,2.0166,1.69836,0.65456,0.25773,0.3824,0.14445,1.97056,2.56838,1.84365,0.000902976,0.000902976,0.000902976
8,25.7854,1.77743,2.08433,1.70066,0.62881,0.42268,0.4619,0.1799,1.89338,2.33156,1.77864,0.00102377,0.00102377,0.00102377
9,28.2525,1.80687,2.03275,1.71782,0.59438,0.45321,0.48017,0.18144,2.00669,2.20394,1.93082,0.00114179,0.00114179,0.00114179
10,30.5774,1.72999,1.90268,1.67353,0.30072,0.25773,0.21807,0.0746,2.01524,2.38027,2.08931,0.00125704,0.00125704,0.00125704
11,33.7005,1.70305,1.87667,1.71733,0.26957,0.27835,0.20153,0.0622,2.07124,2.47528,2.24761,0.00136952,0.00136952,0.00136952
12,37.1197,1.70662,1.9894,1.76273,0.21386,0.23711,0.15029,0.0503,2.03019,2.63181,2.22646,0.00147923,0.00147923,0.00147923
13,39.4564,1.72431,1.9063,1.74309,0.14339,0.3299,0.12049,0.05107,1.93342,2.94419,2.28383,0.00158616,0.00158616,0.00158616
14,41.6684,1.73882,1.9187,1.72379,0.31877,0.27835,0.21452,0.08281,1.95188,2.84728,2.27181,0.00169032,0.00169032,0.00169032
15,43.8435,1.7382,1.86067,1.70081,0.30343,0.41767,0.31215,0.11254,1.94636,2.72032,2.32217,0.0017228,0.0017228,0.0017228
16,46.4989,1.75267,1.85112,1.74023,0.4284,0.43268,0.30034,0.10927,2.09572,2.60229,2.28626,0.001703,0.001703,0.001703
17,49.8446,1.65292,1.79802,1.65131,0.35664,0.54292,0.35752,0.13128,2.09244,2.89035,2.27944,0.0016832,0.0016832,0.0016832
18,52.3202,1.78575,1.83529,1.72023,0.47682,0.34021,0.34332,0.12781,2.21659,2.80831,2.35501,0.0016634,0.0016634,0.0016634
19,54.618,1.73578,1.86234,1.71633,0.63487,0.48454,0.52188,0.20969,2.04166,2.21373,2.11575,0.0016436,0.0016436,0.0016436
20,56.9449,1.76476,1.80271,1.69955,0.52366,0.48454,0.45776,0.14772,2.25022,2.24029,2.23294,0.0016238,0.0016238,0.0016238
21,59.2188,1.68951,1.70821,1.65898,0.48424,0.50515,0.41839,0.15675,2.14579,2.30787,2.13558,0.001604,0.001604,0.001604
22,62.319,1.72555,1.68448,1.6993,0.49177,0.38144,0.35297,0.12183,2.13768,2.7853,2.17176,0.0015842,0.0015842,0.0015842
23,65.2533,1.74305,1.81863,1.72565,0.5458,0.4433,0.42187,0.14389,2.17921,2.19515,2.21576,0.0015644,0.0015644,0.0015644
24,68.0115,1.67056,1.64879,1.65079,0.50043,0.5267,0.48363,0.17598,2.08775,2.63429,2.11348,0.0015446,0.0015446,0.0015446
25,70.2872,1.71734,1.69297,1.6878,0.41531,0.50515,0.4322,0.19134,1.94497,2.31099,2.15473,0.0015248,0.0015248,0.0015248
26,72.513,1.67906,1.69868,1.70724,0.57934,0.52577,0.52414,0.24386,1.95803,2.0494,2.15191,0.001505,0.001505,0.001505
27,74.9561,1.6528,1.64917,1.66047,0.6395,0.49485,0.52936,0.23635,1.99571,1.86419,2.0514,0.0014852,0.0014852,0.0014852
28,78.598,1.65367,1.71899,1.67565,0.71949,0.56701,0.62119,0.28163,1.89476,1.63173,1.91439,0.0014654,0.0014654,0.0014654
29,81.1238,1.69732,1.70094,1.70304,0.75664,0.57732,0.6411,0.27752,1.89362,1.66108,1.90296,0.0014456,0.0014456,0.0014456
30,83.8612,1.66374,1.71264,1.70299,0.6025,0.63918,0.67385,0.27319,1.95657,1.80724,1.90612,0.0014258,0.0014258,0.0014258
31,86.1908,1.66491,1.61031,1.66243,0.67599,0.54639,0.64054,0.26756,1.9555,1.66709,1.94647,0.001406,0.001406,0.001406
32,88.5581,1.71669,1.63749,1.70375,0.51241,0.54639,0.47779,0.19654,1.96441,1.90155,2.01823,0.0013862,0.0013862,0.0013862
33,91.2863,1.67468,1.59466,1.67752,0.59855,0.53608,0.56851,0.23429,1.93905,1.86181,1.94739,0.0013664,0.0013664,0.0013664
34,94.6951,1.61289,1.59483,1.65091,0.6537,0.57732,0.60762,0.25335,2.0191,1.71906,2.01565,0.0013466,0.0013466,0.0013466
35,97.0374,1.71031,1.6341,1.71239,0.64087,0.5567,0.58503,0.24919,2.05854,1.74467,2.02424,0.0013268,0.0013268,0.0013268
36,99.325,1.68479,1.58133,1.66971,0.66342,0.54867,0.60096,0.27151,1.94425,1.72175,1.89936,0.001307,0.001307,0.001307
37,101.641,1.66797,1.55104,1.62943,0.62689,0.61856,0.60147,0.26428,1.93578,1.73051,1.89312,0.0012872,0.0012872,0.0012872
38,104.325,1.6111,1.47351,1.59154,0.69999,0.5567,0.63351,0.29472,1.88239,1.62199,1.82184,0.0012674,0.0012674,0.0012674
39,107.64,1.61438,1.57525,1.62822,0.69107,0.54639,0.64831,0.31758,1.82815,1.58796,1.80935,0.0012476,0.0012476,0.0012476
40,110.288,1.60667,1.50958,1.63757,0.59642,0.48454,0.53316,0.22229,2.0246,1.86995,2.05209,0.0012278,0.0012278,0.0012278
41,112.554,1.62328,1.50573,1.61591,0.60717,0.4433,0.51643,0.20745,2.04308,1.90393,2.04638,0.001208,0.001208,0.001208
42,114.752,1.58534,1.4168,1.59829,0.63593,0.53608,0.5739,0.23301,2.00394,1.72165,1.99627,0.0011882,0.0011882,0.0011882
43,117.476,1.63839,1.48693,1.66606,0.62697,0.54639,0.59057,0.25602,1.9978,1.65154,2.00877,0.0011684,0.0011684,0.0011684
44,120.505,1.56735,1.42325,1.57257,0.80195,0.49485,0.62989,0.27428,1.94674,1.65539,1.95945,0.0011486,0.0011486,0.0011486
45,123.666,1.55146,1.50774,1.61755,0.69653,0.63888,0.67382,0.2733,1.95024,1.57635,1.93791,0.0011288,0.0011288,0.0011288
46,125.967,1.57295,1.51945,1.56916,0.82745,0.6427,0.71313,0.28427,2.02085,1.5843,1.95594,0.001109,0.001109,0.001109
47,128.12,1.59399,1.46106,1.58007,0.68499,0.65011,0.67251,0.28145,1.99168,1.55136,1.95178,0.0010892,0.0010892,0.0010892
48,130.43,1.5667,1.47429,1.62359,0.73812,0.53608,0.63435,0.25067,2.00472,1.64668,1.97317,0.0010694,0.0010694,0.0010694
49,132.647,1.53835,1.39587,1.56116,0.78787,0.53604,0.65039,0.28186,1.93333,1.62931,1.93044,0.0010496,0.0010496,0.0010496
50,136.182,1.51299,1.43445,1.57699,0.68157,0.54639,0.59828,0.27138,1.9577,1.75154,1.98774,0.0010298,0.0010298,0.0010298
51,138.854,1.51078,1.49394,1.60489,0.74663,0.63797,0.64239,0.29145,2.00214,1.58775,2.0015,0.00101,0.00101,0.00101
52,141.235,1.53018,1.33552,1.53133,0.68829,0.61856,0.66711,0.27572,2.00932,1.57027,2.00541,0.0009902,0.0009902,0.0009902
53,143.391,1.50661,1.46338,1.57354,0.77824,0.59794,0.68775,0.31166,1.92853,1.51023,1.92709,0.0009704,0.0009704,0.0009704
54,145.821,1.59284,1.47217,1.61429,0.71887,0.60633,0.64279,0.29818,2.01392,1.63925,1.99069,0.0009506,0.0009506,0.0009506
