epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,85.4796,1.17566,2.23284,1.24048,0.19506,0.45257,0.16064,0.09873,1.64279,2.37489,1.58311,0.000552237,0.000552237,0.000552237
2,161.718,1.22393,1.7596,1.24141,0.4502,0.29358,0.22261,0.14726,1.93329,2.46585,1.68472,0.00109694,0.00109694,0.00109694
3,241.352,1.25044,1.66767,1.28051,0.17072,0.57439,0.1251,0.06918,1.74288,2.66933,1.66187,0.00163063,0.00163063,0.00163063
4,316.531,1.22168,1.58777,1.25642,0.16125,0.57347,0.15164,0.09053,1.72932,2.41108,1.60987,0.00161749,0.00161749,0.00161749
5,393.331,1.21584,1.53489,1.25592,0.32006,0.43596,0.25866,0.17148,1.76302,2.23845,1.66829,0.00160099,0.00160099,0.00160099
6,468.065,1.17555,1.47808,1.23283,0.3296,0.49218,0.26987,0.18578,1.63521,2.1368,1.57004,0.00158448,0.00158448,0.00158448
7,546.487,1.13731,1.40013,1.21163,0.20667,0.60597,0.17901,0.1141,1.61071,2.28271,1.58489,0.00156798,0.00156798,0.00156798
8,621.734,1.12668,1.36852,1.21527,0.35006,0.41173,0.27784,0.18437,1.62199,2.25569,1.53179,0.00155148,0.00155148,0.00155148
9,696.189,1.11274,1.37196,1.21096,0.25091,0.6203,0.25839,0.16366,1.61466,2.13259,1.56304,0.00153497,0.00153497,0.00153497
10,771.464,1.11569,1.33885,1.2091,0.21059,0.60704,0.2244,0.14791,1.61524,2.29015,1.57554,0.00151847,0.00151847,0.00151847
11,847.888,1.07702,1.29383,1.17864,0.30732,0.63089,0.39903,0.27783,1.57071,2.00658,1.51164,0.00150197,0.00150197,0.00150197
12,922.257,1.08672,1.31654,1.1959,0.30938,0.59548,0.33358,0.2371,1.61764,2.0168,1.54975,0.00148546,0.00148546,0.00148546
13,1000,1.0339,1.22071,1.16228,0.30749,0.6072,0.29808,0.20033,1.54497,1.94942,1.50585,0.00146896,0.00146896,0.00146896
14,1076.44,1.04856,1.25456,1.16344,0.34805,0.60765,0.32615,0.21916,1.56258,1.98296,1.49192,0.00145246,0.00145246,0.00145246
15,1152.95,1.04886,1.23579,1.18006,0.26302,0.6629,0.33702,0.24182,1.51992,2.04454,1.45306,0.00143595,0.00143595,0.00143595
16,1229.34,1.01988,1.19968,1.16282,0.37635,0.61164,0.35244,0.23838,1.54806,1.92028,1.49619,0.00141945,0.00141945,0.00141945
17,1306.89,1.03237,1.21163,1.15478,0.42067,0.56504,0.41617,0.30368,1.51483,1.97423,1.45652,0.00140295,0.00140295,0.00140295
18,1384.4,1.02242,1.18466,1.16135,0.35305,0.63537,0.4029,0.28782,1.50129,1.88146,1.48104,0.00138644,0.00138644,0.00138644
19,1461.61,1.00881,1.17033,1.14812,0.43016,0.66034,0.46563,0.34402,1.53829,1.78734,1.49358,0.00136994,0.00136994,0.00136994
20,1537.16,0.98808,1.1398,1.13308,0.41435,0.64411,0.44961,0.32266,1.52277,1.74793,1.47296,0.00135344,0.00135344,0.00135344
21,1614.95,0.9998,1.16757,1.14391,0.39562,0.61509,0.40895,0.29357,1.51803,1.7717,1.46063,0.00133693,0.00133693,0.00133693
22,1689.76,0.98532,1.13706,1.14123,0.3106,0.62364,0.3524,0.2596,1.50848,1.94486,1.481,0.00132043,0.00132043,0.00132043
23,1769.06,0.98088,1.13072,1.13306,0.33115,0.6471,0.35848,0.24688,1.5145,1.84478,1.47486,0.00130393,0.00130393,0.00130393
24,1844.43,0.9697,1.10859,1.12459,0.43958,0.61286,0.46354,0.3485,1.47575,1.77618,1.44228,0.00128742,0.00128742,0.00128742
25,1922.62,0.96796,1.1065,1.12751,0.45123,0.64072,0.45317,0.32676,1.48196,1.74016,1.44902,0.00127092,0.00127092,0.00127092
26,1999.68,0.94626,1.0861,1.11508,0.33074,0.65053,0.40149,0.28321,1.55168,1.84283,1.48305,0.00125442,0.00125442,0.00125442
27,2076.36,0.93081,1.05253,1.11044,0.34196,0.63348,0.38688,0.27975,1.51798,1.89512,1.48718,0.00123791,0.00123791,0.00123791
28,2152.92,0.94686,1.03623,1.11973,0.38145,0.62194,0.41254,0.30099,1.48952,1.80885,1.46485,0.00122141,0.00122141,0.00122141
29,2230.63,0.94171,1.06207,1.1105,0.3797,0.63945,0.44498,0.33125,1.53109,1.84833,1.4774,0.00120491,0.00120491,0.00120491
30,2305.92,0.93945,1.0449,1.11173,0.25313,0.64094,0.2699,0.19208,1.48194,2.21877,1.45398,0.0011884,0.0011884,0.0011884
31,2380.12,0.92019,1.02753,1.10837,0.64061,0.5826,0.5912,0.46336,1.46631,1.74133,1.44404,0.0011719,0.0011719,0.0011719
32,2458.06,0.91664,1.01252,1.10455,0.51893,0.6127,0.5066,0.39009,1.45476,1.7977,1.43143,0.0011554,0.0011554,0.0011554
33,2533.07,0.91657,1.01774,1.10382,0.56667,0.62942,0.53454,0.41171,1.49084,1.71427,1.46366,0.00113889,0.00113889,0.00113889
34,2609.04,0.90784,1.00918,1.10013,0.51357,0.62109,0.51037,0.3853,1.46496,1.68893,1.45281,0.00112239,0.00112239,0.00112239
35,2683.98,0.91515,1.02616,1.10484,0.48089,0.62876,0.50202,0.38,1.48067,1.66882,1.45465,0.00110589,0.00110589,0.00110589
36,2761.31,0.8943,0.97925,1.09404,0.46149,0.64347,0.563,0.43688,1.45791,1.68767,1.45511,0.00108938,0.00108938,0.00108938
37,2836.12,0.91015,0.98226,1.09362,0.63371,0.62319,0.58547,0.45123,1.47579,1.75417,1.46253,0.00107288,0.00107288,0.00107288
38,2912.05,0.89139,0.98306,1.08956,0.42655,0.64231,0.50148,0.3841,1.48931,1.74073,1.48207,0.00105638,0.00105638,0.00105638
39,2986.17,0.87869,0.9481,1.08045,0.44657,0.66887,0.49544,0.37702,1.48894,1.67315,1.45378,0.00103987,0.00103987,0.00103987
40,3062.8,0.87492,0.95023,1.0793,0.42957,0.66098,0.47258,0.35161,1.4567,1.69348,1.42669,0.00102337,0.00102337,0.00102337
41,3138.63,0.8816,0.95416,1.08674,0.45089,0.63646,0.45723,0.34574,1.4532,1.70255,1.43411,0.00100687,0.00100687,0.00100687
42,3215.62,0.88597,0.96002,1.08306,0.55004,0.63262,0.54781,0.42961,1.45663,1.6583,1.42508,0.000990365,0.000990365,0.000990365
43,3291.85,0.86291,0.91828,1.07103,0.56271,0.65648,0.57258,0.44584,1.4638,1.62266,1.45192,0.000973861,0.000973861,0.000973861
44,3368.14,0.88199,0.95699,1.09035,0.49589,0.61765,0.5066,0.39466,1.48029,1.70501,1.43937,0.000957358,0.000957358,0.000957358
45,3444.24,0.85438,0.91886,1.07021,0.40927,0.66994,0.47754,0.37055,1.4979,1.65695,1.46778,0.000940855,0.000940855,0.000940855
46,3521.86,0.85918,0.91574,1.07403,0.4965,0.65293,0.48579,0.37155,1.47635,1.66632,1.4455,0.000924352,0.000924352,0.000924352
47,3596.49,0.86153,0.89883,1.07546,0.55607,0.651,0.54961,0.42484,1.46405,1.67196,1.44391,0.000907848,0.000907848,0.000907848
48,3673.08,0.85392,0.90385,1.06766,0.45591,0.65821,0.48037,0.36675,1.43915,1.65621,1.43596,0.000891345,0.000891345,0.000891345
49,3748.54,0.85548,0.8944,1.06947,0.41511,0.64902,0.45508,0.35188,1.45061,1.69825,1.44731,0.000874842,0.000874842,0.000874842
50,3824.3,0.83312,0.8845,1.06163,0.63445,0.63859,0.58027,0.45514,1.43892,1.58615,1.42887,0.000858338,0.000858338,0.000858338
51,3900.81,0.85585,0.9028,1.06852,0.51947,0.64819,0.52552,0.41068,1.44479,1.65543,1.43092,0.000841835,0.000841835,0.000841835
52,3976.47,0.83033,0.86477,1.05842,0.54258,0.66643,0.56486,0.44842,1.45332,1.59469,1.44934,0.000825332,0.000825332,0.000825332
53,4053.1,0.83943,0.85185,1.05874,0.51456,0.63085,0.50644,0.39315,1.46957,1.64166,1.45084,0.000808828,0.000808828,0.000808828
54,4127.82,0.80831,0.8183,1.04715,0.53531,0.64285,0.52837,0.41422,1.46292,1.62795,1.44846,0.000792325,0.000792325,0.000792325
55,4203.35,0.80989,0.8422,1.04184,0.53101,0.65224,0.55648,0.43918,1.45755,1.61767,1.46572,0.000775822,0.000775822,0.000775822
56,4279.17,0.82762,0.85821,1.05384,0.34826,0.66823,0.41404,0.31214,1.45655,1.74899,1.45772,0.000759318,0.000759318,0.000759318
