epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,111.112,1.45287,2.58096,1.36169,0.57325,0.481,0.5043,0.25836,1.46605,2.03829,1.28359,0.00332937,0.00332937,0.00332937
2,210.333,1.48704,1.93572,1.356,0.62538,0.48489,0.53162,0.27673,1.52934,1.69537,1.40119,0.00662972,0.00662972,0.00662972
3,302.953,1.64022,1.90235,1.46206,0.51541,0.42908,0.42036,0.19291,1.75016,1.8597,1.52382,0.00989708,0.00989708,0.00989708
4,394.888,1.74654,1.95871,1.54546,0.45755,0.4159,0.38097,0.17612,1.82594,1.94227,1.63348,0.0098515,0.0098515,0.0098515
5,486.754,1.68101,1.82058,1.51587,0.59403,0.48839,0.52091,0.27102,1.65653,1.65577,1.48474,0.009802,0.009802,0.009802
6,578.539,1.62493,1.70393,1.47836,0.64861,0.54697,0.60054,0.32479,1.54089,1.45779,1.39274,0.0097525,0.0097525,0.0097525
7,672.436,1.55728,1.60243,1.43638,0.72158,0.56875,0.65361,0.37096,1.48257,1.40922,1.38016,0.009703,0.009703,0.009703
8,775.047,1.52754,1.54289,1.40859,0.69844,0.60907,0.65697,0.35443,1.50028,1.36037,1.34669,0.0096535,0.0096535,0.0096535
9,866.715,1.49712,1.50721,1.39536,0.73841,0.56176,0.65885,0.36944,1.50042,1.32281,1.34233,0.009604,0.009604,0.009604
10,959.807,1.48455,1.44612,1.3883,0.72696,0.60775,0.69953,0.38644,1.45776,1.26007,1.3267,0.0095545,0.0095545,0.0095545
11,1053.65,1.44966,1.40303,1.3608,0.75017,0.64907,0.72996,0.40451,1.45632,1.21127,1.33549,0.009505,0.009505,0.009505
12,1146.11,1.4388,1.37839,1.35001,0.75528,0.64258,0.73741,0.42137,1.40994,1.16748,1.31563,0.0094555,0.0094555,0.0094555
13,1247.42,1.4039,1.31785,1.33791,0.73196,0.66623,0.73982,0.4247,1.39356,1.17316,1.30451,0.009406,0.009406,0.009406
14,1342.12,1.40345,1.30528,1.32512,0.79287,0.68662,0.77774,0.45293,1.37294,1.08133,1.25426,0.0093565,0.0093565,0.0093565
15,1433.54,1.36968,1.26093,1.30195,0.75322,0.6682,0.75987,0.44343,1.37001,1.10335,1.27516,0.009307,0.009307,0.009307
16,1528.44,1.35991,1.24743,1.29521,0.79323,0.66886,0.76598,0.44367,1.3948,1.11239,1.28122,0.0092575,0.0092575,0.0092575
17,1620.41,1.34294,1.20831,1.28889,0.78691,0.68397,0.7818,0.4633,1.34223,1.06419,1.2433,0.009208,0.009208,0.009208
18,1712.3,1.32622,1.16934,1.27445,0.79423,0.70631,0.80026,0.46938,1.33047,1.03751,1.22812,0.0091585,0.0091585,0.0091585
19,1804.35,1.31921,1.18938,1.26808,0.76107,0.69711,0.77392,0.45593,1.35269,1.08068,1.24632,0.009109,0.009109,0.009109
20,1895.98,1.31343,1.15224,1.2625,0.81284,0.70766,0.80381,0.47615,1.32022,0.98803,1.22847,0.0090595,0.0090595,0.0090595
21,1987.87,1.28878,1.13426,1.25345,0.79112,0.73161,0.80645,0.48931,1.28417,0.96793,1.19846,0.00901,0.00901,0.00901
22,2079.32,1.29474,1.12446,1.25318,0.80984,0.73127,0.81582,0.494,1.29354,0.95848,1.21241,0.0089605,0.0089605,0.0089605
23,2171.73,1.27899,1.11292,1.24503,0.80282,0.73028,0.82348,0.50282,1.28822,0.94153,1.19967,0.008911,0.008911,0.008911
24,2264.5,1.25714,1.08772,1.23532,0.80253,0.7431,0.82404,0.48807,1.30207,0.94966,1.21281,0.0088615,0.0088615,0.0088615
25,2360.6,1.25814,1.0704,1.22837,0.80614,0.74314,0.82196,0.49275,1.29982,0.93974,1.20831,0.008812,0.008812,0.008812
26,2453.57,1.2543,1.07603,1.22725,0.82823,0.7477,0.83276,0.50772,1.28852,0.93692,1.19218,0.0087625,0.0087625,0.0087625
27,2544.95,1.26187,1.0731,1.21963,0.82421,0.73625,0.83503,0.50539,1.28973,0.91113,1.20731,0.008713,0.008713,0.008713
28,2636.58,1.23519,1.04515,1.21261,0.83692,0.75864,0.84622,0.51749,1.26184,0.90056,1.18197,0.0086635,0.0086635,0.0086635
