epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,202.881,1.91268,2.60005,1.6645,0.54836,0.40364,0.4375,0.22947,1.82916,2.29509,1.69674,0.0033294,0.0033294,0.0033294
2,394.04,1.78628,2.01275,1.55233,0.58509,0.45471,0.51234,0.27627,1.81044,1.97092,1.66032,0.00662976,0.00662976,0.00662976
3,554.107,1.85293,1.96907,1.60549,0.56031,0.44874,0.47491,0.2389,1.92771,2.00252,1.72924,0.00989711,0.00989711,0.00989711
4,715.65,1.88589,1.96684,1.65599,0.57687,0.49156,0.50555,0.25059,1.88611,2.03559,1.7788,0.0098515,0.0098515,0.0098515
5,875.93,1.82911,1.85899,1.63633,0.62358,0.49467,0.54199,0.29579,1.81427,1.82729,1.71288,0.009802,0.009802,0.009802
6,1036.38,1.7767,1.77062,1.58968,0.62943,0.54832,0.61098,0.34338,1.70032,1.70205,1.62312,0.0097525,0.0097525,0.0097525
7,1196.93,1.73371,1.70568,1.55821,0.65785,0.54041,0.62617,0.35577,1.66907,1.59204,1.60167,0.009703,0.009703,0.009703
8,1358.05,1.7071,1.64917,1.54864,0.68302,0.5444,0.63947,0.36389,1.66772,1.57756,1.61836,0.0096535,0.0096535,0.0096535
9,1518.28,1.68932,1.61108,1.52942,0.70714,0.5746,0.67889,0.39763,1.60739,1.51968,1.55397,0.009604,0.009604,0.009604
10,1678.96,1.67027,1.58301,1.51749,0.68737,0.56439,0.65406,0.39237,1.59227,1.52366,1.55044,0.0095545,0.0095545,0.0095545
11,1839.69,1.64634,1.55353,1.49882,0.70356,0.61634,0.69157,0.42443,1.58445,1.46798,1.54065,0.009505,0.009505,0.009505
12,2000.23,1.62327,1.50828,1.48545,0.7145,0.5857,0.68014,0.41466,1.56125,1.45683,1.52605,0.0094555,0.0094555,0.0094555
13,2161,1.61254,1.49113,1.48113,0.74436,0.61802,0.714,0.43103,1.53098,1.40249,1.48827,0.009406,0.009406,0.009406
14,2321.9,1.60443,1.47149,1.4584,0.73248,0.60524,0.70921,0.43885,1.52641,1.39681,1.47534,0.0093565,0.0093565,0.0093565
15,2482.43,1.58741,1.44538,1.45353,0.72016,0.61945,0.70948,0.44135,1.53681,1.38331,1.4896,0.009307,0.009307,0.009307
16,2643.3,1.57734,1.42337,1.44738,0.75721,0.63151,0.72705,0.45934,1.50675,1.35029,1.47398,0.0092575,0.0092575,0.0092575
17,2803.79,1.55907,1.39924,1.43139,0.75198,0.62078,0.72553,0.45803,1.49614,1.366,1.46148,0.009208,0.009208,0.009208
18,2964.18,1.5578,1.4068,1.43194,0.74365,0.64923,0.72971,0.46268,1.47178,1.34121,1.4342,0.0091585,0.0091585,0.0091585
19,3125.16,1.54782,1.38497,1.42303,0.73323,0.63345,0.73014,0.46728,1.46411,1.32137,1.46392,0.009109,0.009109,0.009109
20,3285.25,1.53119,1.37349,1.41436,0.74421,0.6408,0.73478,0.47354,1.47105,1.30902,1.45283,0.0090595,0.0090595,0.0090595
21,3444.61,1.5256,1.35387,1.40828,0.77303,0.62744,0.73512,0.47813,1.44805,1.31929,1.43337,0.00901,0.00901,0.00901
22,3604.85,1.51487,1.34174,1.39889,0.74076,0.64711,0.74594,0.48572,1.45969,1.28902,1.43071,0.0089605,0.0089605,0.0089605
23,3765.86,1.51497,1.32571,1.39355,0.76302,0.6421,0.74573,0.48511,1.45669,1.27768,1.43796,0.008911,0.008911,0.008911
24,3926.74,1.50268,1.31917,1.38877,0.75045,0.65231,0.74993,0.49878,1.4219,1.25559,1.42278,0.0088615,0.0088615,0.0088615
25,4087.41,1.50343,1.30953,1.39042,0.76709,0.64298,0.75372,0.49625,1.42802,1.2608,1.42949,0.008812,0.008812,0.008812
26,4247.76,1.48593,1.29359,1.3762,0.75745,0.66977,0.76619,0.50798,1.40588,1.2456,1.40273,0.0087625,0.0087625,0.0087625
27,4408.32,1.47856,1.28746,1.37309,0.74925,0.68073,0.76444,0.51034,1.39852,1.21581,1.39486,0.008713,0.008713,0.008713
28,4569.08,1.4771,1.27969,1.3726,0.74962,0.66652,0.76328,0.51161,1.3965,1.20752,1.40489,0.0086635,0.0086635,0.0086635
29,4729.83,1.47222,1.27113,1.36944,0.74571,0.67718,0.76839,0.51948,1.37617,1.21112,1.39216,0.008614,0.008614,0.008614
30,4890.55,1.47004,1.26132,1.37068,0.75484,0.67951,0.77464,0.52539,1.37463,1.20467,1.3801,0.0085645,0.0085645,0.0085645
31,5051.2,1.46229,1.26051,1.35857,0.74291,0.66874,0.77058,0.52839,1.35699,1.19893,1.36739,0.008515,0.008515,0.008515
32,5211.73,1.4598,1.25807,1.3597,0.76605,0.65497,0.76845,0.52193,1.35995,1.20366,1.38163,0.0084655,0.0084655,0.0084655
33,5372.22,1.4565,1.25937,1.36181,0.74552,0.68517,0.77759,0.52808,1.35019,1.18883,1.37487,0.008416,0.008416,0.008416
34,5532.63,1.44311,1.23007,1.34635,0.75618,0.6825,0.78207,0.5362,1.35046,1.17329,1.36953,0.0083665,0.0083665,0.0083665
35,5693.2,1.43583,1.22003,1.34053,0.74723,0.69005,0.78268,0.53464,1.34582,1.18313,1.37046,0.008317,0.008317,0.008317
36,5853.83,1.44006,1.22286,1.34669,0.7225,0.71335,0.78295,0.53604,1.3465,1.15713,1.36709,0.0082675,0.0082675,0.0082675
37,6013.86,1.44364,1.22231,1.34683,0.73531,0.713,0.78518,0.54363,1.33275,1.14812,1.36074,0.008218,0.008218,0.008218
38,6173.87,1.42855,1.20708,1.33774,0.77098,0.68206,0.78713,0.54465,1.32991,1.15785,1.36232,0.0081685,0.0081685,0.0081685
39,6334.5,1.43089,1.20176,1.33428,0.74575,0.70984,0.78979,0.54412,1.32266,1.15602,1.35178,0.008119,0.008119,0.008119
40,6494.75,1.42044,1.20085,1.32807,0.73543,0.71714,0.79127,0.54707,1.33314,1.15023,1.35469,0.0080695,0.0080695,0.0080695
41,6654.87,1.42151,1.19532,1.3303,0.74988,0.7127,0.79011,0.55165,1.32263,1.13441,1.35115,0.00802,0.00802,0.00802
42,6815.49,1.41116,1.18893,1.32515,0.72996,0.72138,0.78895,0.55039,1.30633,1.14627,1.33996,0.0079705,0.0079705,0.0079705
43,6975.41,1.41694,1.18561,1.32946,0.71765,0.72571,0.78849,0.5527,1.31047,1.1398,1.33673,0.007921,0.007921,0.007921
44,7135.28,1.41119,1.17605,1.31964,0.73189,0.72247,0.79207,0.55577,1.30032,1.137,1.3341,0.0078715,0.0078715,0.0078715
45,7295.03,1.40149,1.17064,1.31662,0.72958,0.73438,0.79512,0.55868,1.30513,1.12657,1.33918,0.007822,0.007822,0.007822
46,7455.24,1.39923,1.17108,1.3179,0.7383,0.7238,0.79536,0.55876,1.29991,1.12239,1.34164,0.0077725,0.0077725,0.0077725
47,7615.54,1.39068,1.15518,1.31218,0.72285,0.72869,0.79531,0.5592,1.30753,1.11956,1.35176,0.007723,0.007723,0.007723
48,7776.23,1.39077,1.15823,1.31305,0.71447,0.74556,0.79589,0.55698,1.30389,1.11085,1.34529,0.0076735,0.0076735,0.0076735
49,7936.53,1.38611,1.15372,1.30699,0.72638,0.73979,0.79703,0.55763,1.30342,1.11044,1.34664,0.007624,0.007624,0.007624
50,8097.03,1.38509,1.15034,1.3078,0.74112,0.7246,0.80005,0.56258,1.2892,1.10371,1.33869,0.0075745,0.0075745,0.0075745
51,8257.76,1.38142,1.14918,1.30751,0.75891,0.70728,0.79796,0.56423,1.28954,1.10605,1.33775,0.007525,0.007525,0.007525
52,8420.5,1.38977,1.14812,1.30374,0.74929,0.72602,0.79914,0.56472,1.28473,1.10257,1.33153,0.0074755,0.0074755,0.0074755
53,8581.54,1.38343,1.14242,1.30247,0.74045,0.73002,0.7985,0.56404,1.27796,1.10246,1.32612,0.007426,0.007426,0.007426
54,8741.88,1.37563,1.1412,1.30376,0.73779,0.73593,0.79994,0.56518,1.27411,1.09438,1.32365,0.0073765,0.0073765,0.0073765
55,8901.97,1.36179,1.12274,1.28842,0.74175,0.73135,0.80106,0.56542,1.27714,1.09223,1.32652,0.007327,0.007327,0.007327
56,9062.2,1.36121,1.11758,1.29106,0.73462,0.7412,0.80159,0.56794,1.2756,1.0902,1.32644,0.0072775,0.0072775,0.0072775
57,9222.24,1.36504,1.12302,1.29091,0.73416,0.74681,0.80226,0.56728,1.27254,1.09131,1.32619,0.007228,0.007228,0.007228
58,9382.29,1.35747,1.11198,1.28568,0.74982,0.72532,0.80417,0.56994,1.2692,1.08583,1.32362,0.0071785,0.0071785,0.0071785
59,9542.17,1.35443,1.1092,1.28594,0.76447,0.71492,0.80436,0.57208,1.26759,1.08486,1.32436,0.007129,0.007129,0.007129
60,9701.84,1.35977,1.10646,1.28803,0.73138,0.74719,0.80579,0.57286,1.26264,1.08227,1.32249,0.0070795,0.0070795,0.0070795
61,9861.75,1.35373,1.10535,1.2883,0.72069,0.76288,0.80884,0.57699,1.25812,1.07761,1.31848,0.00703,0.00703,0.00703
62,10021.8,1.34769,1.0971,1.27582,0.72979,0.75622,0.81048,0.57749,1.25663,1.07656,1.31535,0.0069805,0.0069805,0.0069805
63,10181.8,1.33842,1.09073,1.27361,0.73431,0.75533,0.81075,0.57828,1.25853,1.0712,1.31709,0.006931,0.006931,0.006931
64,10342.1,1.34134,1.08886,1.27623,0.72626,0.76341,0.81097,0.57866,1.25887,1.0704,1.31758,0.0068815,0.0068815,0.0068815
65,10502.2,1.33726,1.08219,1.27338,0.72252,0.76773,0.81175,0.57813,1.25611,1.07208,1.31467,0.006832,0.006832,0.006832
66,10662.4,1.33269,1.08392,1.27576,0.7184,0.76554,0.80956,0.57805,1.25531,1.07082,1.31639,0.0067825,0.0067825,0.0067825
67,10822.4,1.33561,1.07123,1.27054,0.74201,0.74689,0.8119,0.57922,1.25635,1.0715,1.31721,0.006733,0.006733,0.006733
68,10982.2,1.33996,1.08822,1.27324,0.72816,0.76007,0.81143,0.57846,1.2523,1.07259,1.31533,0.0066835,0.0066835,0.0066835
69,11142.9,1.3288,1.07858,1.2675,0.72847,0.75844,0.80954,0.57862,1.25198,1.0711,1.31567,0.006634,0.006634,0.006634
70,11303.2,1.33425,1.07976,1.268,0.72176,0.76465,0.81073,0.57963,1.25145,1.06988,1.31562,0.0065845,0.0065845,0.0065845
71,11463.3,1.33197,1.06866,1.26971,0.72274,0.76377,0.8098,0.58062,1.25167,1.06843,1.31631,0.006535,0.006535,0.006535
72,11623.9,1.3217,1.05828,1.26192,0.725,0.7668,0.80957,0.58213,1.2502,1.06929,1.31569,0.0064855,0.0064855,0.0064855
73,11783.5,1.31838,1.06564,1.26359,0.72507,0.76687,0.80925,0.58232,1.25042,1.06935,1.31574,0.006436,0.006436,0.006436
74,11942.5,1.3236,1.0604,1.25964,0.72485,0.76954,0.80863,0.58256,1.24958,1.06913,1.31462,0.0063865,0.0063865,0.0063865
75,12102,1.31237,1.05329,1.25474,0.72325,0.77353,0.80901,0.5827,1.24952,1.06622,1.3154,0.006337,0.006337,0.006337
76,12261.5,1.30891,1.04635,1.25207,0.72387,0.77645,0.80978,0.5836,1.24686,1.06549,1.31338,0.0062875,0.0062875,0.0062875
77,12420.7,1.31859,1.05532,1.2555,0.72526,0.77709,0.8104,0.58402,1.24576,1.06428,1.31132,0.006238,0.006238,0.006238
78,12579.8,1.30295,1.04587,1.24584,0.72942,0.77568,0.81041,0.58522,1.24386,1.06457,1.30952,0.0061885,0.0061885,0.0061885
79,12739.1,1.30759,1.04468,1.25144,0.72824,0.77531,0.80859,0.58541,1.24288,1.06412,1.30817,0.006139,0.006139,0.006139
80,12898.4,1.29777,1.03549,1.24627,0.7304,0.77575,0.81016,0.58527,1.24105,1.0638,1.30573,0.0060895,0.0060895,0.0060895
81,13057.5,1.29679,1.035,1.2422,0.72779,0.77762,0.81071,0.58599,1.24103,1.06298,1.30603,0.00604,0.00604,0.00604
82,13216.9,1.30118,1.03766,1.24825,0.73362,0.77487,0.8108,0.58581,1.24055,1.0615,1.30572,0.0059905,0.0059905,0.0059905
83,13375.9,1.29337,1.03093,1.24781,0.73404,0.77575,0.81063,0.58562,1.24087,1.06103,1.30674,0.005941,0.005941,0.005941
84,13535,1.29402,1.03143,1.24504,0.73617,0.77309,0.81177,0.58619,1.24091,1.06111,1.30654,0.0058915,0.0058915,0.0058915
85,13694.3,1.29265,1.03442,1.24603,0.72796,0.77842,0.8114,0.5866,1.23878,1.06247,1.30435,0.005842,0.005842,0.005842
86,13853.5,1.28627,1.02178,1.2449,0.73328,0.77265,0.81093,0.5866,1.23838,1.06173,1.30449,0.0057925,0.0057925,0.0057925
87,14012.4,1.28294,1.01356,1.23696,0.73289,0.77244,0.81069,0.58644,1.2395,1.06125,1.30431,0.005743,0.005743,0.005743
88,14171.5,1.28252,1.0195,1.24033,0.732,0.77531,0.81173,0.58645,1.24079,1.05919,1.30497,0.0056935,0.0056935,0.0056935
89,14330.9,1.28247,1.01419,1.23877,0.73254,0.77349,0.81184,0.58721,1.24026,1.05873,1.30466,0.005644,0.005644,0.005644
