epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,285.463,1.08668,2.28576,1.5582,0.54987,0.50429,0.5083,0.25387,1.60186,2.24143,1.78614,0.00333057,0.00333057,0.00333057
2,538.816,1.05131,1.77143,1.53169,0.60908,0.48783,0.52646,0.28115,1.5534,2.05641,1.74846,0.00663092,0.00663092,0.00663092
3,800.223,1.11399,1.71569,1.57483,0.47033,0.51747,0.45934,0.20353,1.76378,2.16974,1.93986,0.00989827,0.00989827,0.00989827
4,1051.98,1.12219,1.6797,1.58382,0.5371,0.54023,0.5342,0.27389,1.65329,2.10427,1.85697,0.0098515,0.0098515,0.0098515
5,1303.14,1.07413,1.5772,1.54625,0.64756,0.53767,0.60511,0.33814,1.50268,1.90772,1.70734,0.009802,0.009802,0.009802
6,1520.96,1.04335,1.49581,1.51882,0.64796,0.51801,0.59002,0.3391,1.45556,1.87039,1.69578,0.0097525,0.0097525,0.0097525
7,1741.39,1.01371,1.43366,1.50109,0.57915,0.56726,0.6018,0.364,1.3858,1.78707,1.62689,0.009703,0.009703,0.009703
8,1961.49,0.99226,1.39475,1.48269,0.6655,0.66007,0.70175,0.40607,1.41744,1.60101,1.62237,0.0096535,0.0096535,0.0096535
9,2182,0.97783,1.35072,1.47124,0.70724,0.6695,0.72084,0.42769,1.41557,1.63065,1.62251,0.009604,0.009604,0.009604
10,2402.43,0.96014,1.30375,1.45684,0.71046,0.63179,0.68895,0.41304,1.36685,1.65833,1.54804,0.0095545,0.0095545,0.0095545
11,2623.24,0.94528,1.26594,1.44173,0.69981,0.66141,0.72906,0.42839,1.34801,1.4886,1.50779,0.009505,0.009505,0.009505
12,2843.83,0.93613,1.25319,1.43646,0.70339,0.70675,0.75273,0.43774,1.37042,1.46387,1.5484,0.0094555,0.0094555,0.0094555
13,3061.92,0.92402,1.21754,1.42439,0.70772,0.7327,0.76696,0.46866,1.27185,1.37898,1.44948,0.009406,0.009406,0.009406
14,3280.49,0.91776,1.19977,1.41927,0.75364,0.70976,0.76481,0.46685,1.27942,1.36948,1.43939,0.0093565,0.0093565,0.0093565
15,3499.58,0.89961,1.17768,1.40286,0.74694,0.72563,0.78626,0.48282,1.30987,1.35015,1.46896,0.009307,0.009307,0.009307
16,3721.29,0.89516,1.15787,1.39876,0.73137,0.74652,0.78148,0.49941,1.25499,1.33195,1.43593,0.0092575,0.0092575,0.0092575
17,3945.23,0.88605,1.14187,1.39411,0.80913,0.70327,0.79745,0.5061,1.22846,1.28171,1.4083,0.009208,0.009208,0.009208
18,4166.31,0.87919,1.11794,1.38795,0.78304,0.76071,0.81784,0.51578,1.25512,1.25992,1.40603,0.0091585,0.0091585,0.0091585
19,4387.36,0.87065,1.10408,1.379,0.77702,0.7773,0.81843,0.52861,1.24119,1.2289,1.40057,0.009109,0.009109,0.009109
20,4604.91,0.86913,1.0874,1.37977,0.83129,0.76225,0.83825,0.55598,1.21854,1.15248,1.36282,0.0090595,0.0090595,0.0090595
21,4822.65,0.86006,1.07962,1.37195,0.7732,0.79245,0.83505,0.54122,1.19421,1.18372,1.35413,0.00901,0.00901,0.00901
22,5039.82,0.85219,1.0616,1.36198,0.82126,0.74645,0.82866,0.54621,1.20631,1.17478,1.37148,0.0089605,0.0089605,0.0089605
23,5261.48,0.85241,1.0516,1.36468,0.8114,0.78718,0.84146,0.56026,1.17154,1.12014,1.34707,0.008911,0.008911,0.008911
24,5483.4,0.84318,1.0384,1.3551,0.84655,0.73383,0.84501,0.56569,1.172,1.12288,1.33906,0.0088615,0.0088615,0.0088615
25,5704.12,0.83646,1.02393,1.34983,0.81395,0.79344,0.84596,0.56939,1.16552,1.12802,1.34177,0.008812,0.008812,0.008812
26,5921.77,0.83215,1.01648,1.34444,0.78619,0.77736,0.84043,0.56845,1.15912,1.14314,1.32593,0.0087625,0.0087625,0.0087625
27,6139.68,0.83146,1.00875,1.3443,0.84034,0.76288,0.85012,0.57034,1.15962,1.10519,1.32282,0.008713,0.008713,0.008713
28,6362,0.82382,0.99694,1.3378,0.78985,0.80909,0.84796,0.57529,1.14482,1.08873,1.30947,0.0086635,0.0086635,0.0086635
29,6585.15,0.81721,0.97977,1.33237,0.80239,0.80251,0.85244,0.57991,1.14619,1.0756,1.3037,0.008614,0.008614,0.008614
30,6802.67,0.80977,0.97011,1.32689,0.81906,0.80468,0.85577,0.58064,1.14369,1.07674,1.302,0.0085645,0.0085645,0.0085645
31,7020.82,0.81841,0.9723,1.32635,0.80356,0.80449,0.86005,0.58888,1.13968,1.04285,1.30446,0.008515,0.008515,0.008515
32,7246.59,0.80864,0.95841,1.3225,0.84223,0.77746,0.86121,0.58767,1.14095,1.04088,1.2978,0.0084655,0.0084655,0.0084655
33,7467.47,0.80722,0.95112,1.3211,0.86258,0.76094,0.86844,0.59457,1.12572,1.01666,1.29132,0.008416,0.008416,0.008416
34,7688.11,0.79804,0.94084,1.31216,0.85456,0.77687,0.86867,0.59658,1.11993,0.99873,1.28478,0.0083665,0.0083665,0.0083665
35,7908.51,0.79421,0.92559,1.30959,0.83622,0.79569,0.86734,0.59654,1.13013,1.00006,1.296,0.008317,0.008317,0.008317
36,8130.55,0.79545,0.92816,1.31267,0.82847,0.80654,0.86839,0.6002,1.12202,0.98302,1.28584,0.0082675,0.0082675,0.0082675
37,8347.73,0.78889,0.92268,1.30843,0.8536,0.77926,0.86643,0.59826,1.1248,0.98074,1.2893,0.008218,0.008218,0.008218
38,8564.89,0.78746,0.91548,1.30379,0.8551,0.78641,0.86496,0.59901,1.12706,0.98337,1.28801,0.0081685,0.0081685,0.0081685
39,8781.79,0.78099,0.90028,1.29762,0.82969,0.79579,0.86276,0.59924,1.12333,0.99214,1.28298,0.008119,0.008119,0.008119
40,9002.31,0.77958,0.89376,1.29564,0.86224,0.76797,0.86508,0.60171,1.11617,0.9728,1.27484,0.0080695,0.0080695,0.0080695
41,9224.78,0.77343,0.88573,1.29053,0.85976,0.77514,0.86279,0.60335,1.1111,0.96325,1.27082,0.00802,0.00802,0.00802
42,9444.15,0.77023,0.88358,1.28999,0.85529,0.77785,0.86814,0.6048,1.10523,0.96569,1.26776,0.0079705,0.0079705,0.0079705
43,9661.07,0.76841,0.88921,1.28701,0.8645,0.78327,0.86935,0.60952,1.09836,0.95537,1.26331,0.007921,0.007921,0.007921
44,9882.6,0.76423,0.87313,1.28394,0.87719,0.78652,0.87171,0.61029,1.09357,0.95097,1.26098,0.0078715,0.0078715,0.0078715
45,10104.7,0.7644,0.86665,1.28411,0.8763,0.79003,0.87568,0.6126,1.09272,0.95331,1.26149,0.007822,0.007822,0.007822
46,10326.7,0.76264,0.86274,1.28074,0.87049,0.79388,0.87472,0.61118,1.09444,0.95322,1.25971,0.0077725,0.0077725,0.0077725
47,10544.8,0.75569,0.85451,1.27639,0.87218,0.79313,0.87562,0.61077,1.09503,0.95074,1.2589,0.007723,0.007723,0.007723
48,10765.1,0.75431,0.85436,1.27428,0.87458,0.78428,0.87703,0.61299,1.09342,0.95433,1.25825,0.0076735,0.0076735,0.0076735
49,10983.2,0.75219,0.84379,1.27211,0.87725,0.78731,0.87789,0.61541,1.09182,0.95391,1.2556,0.007624,0.007624,0.007624
50,11204.3,0.74528,0.83198,1.26912,0.87788,0.7859,0.87806,0.61625,1.08901,0.95356,1.25261,0.0075745,0.0075745,0.0075745
51,11426.1,0.74525,0.83289,1.26576,0.88215,0.78986,0.87651,0.61839,1.08862,0.95573,1.25169,0.007525,0.007525,0.007525
52,11647.3,0.74143,0.82032,1.26484,0.88138,0.78867,0.87647,0.61485,1.08868,0.9519,1.25223,0.0074755,0.0074755,0.0074755
53,11867,0.74485,0.82468,1.26578,0.87774,0.78655,0.87755,0.61626,1.08849,0.94595,1.25276,0.007426,0.007426,0.007426
54,12084.4,0.73662,0.81984,1.26037,0.86879,0.79403,0.87861,0.61957,1.0905,0.94193,1.25543,0.0073765,0.0073765,0.0073765
55,12301.7,0.73766,0.8129,1.25681,0.87599,0.7972,0.87899,0.61953,1.08978,0.93732,1.25795,0.007327,0.007327,0.007327
56,12522.5,0.73419,0.80605,1.25677,0.8764,0.79932,0.87979,0.62215,1.09016,0.93286,1.25751,0.0072775,0.0072775,0.0072775
57,12745.3,0.72517,0.79792,1.25081,0.87636,0.80053,0.8824,0.62245,1.09034,0.92864,1.25834,0.007228,0.007228,0.007228
58,12967.9,0.72918,0.80191,1.2525,0.88023,0.79916,0.8832,0.62348,1.08931,0.9268,1.25629,0.0071785,0.0071785,0.0071785
59,13187.8,0.72381,0.79712,1.25263,0.88317,0.79868,0.88354,0.62298,1.08849,0.92664,1.25536,0.007129,0.007129,0.007129
60,13406.9,0.72805,0.80111,1.25345,0.87729,0.79822,0.88332,0.6236,1.08607,0.92663,1.25287,0.0070795,0.0070795,0.0070795
61,13632.1,0.72795,0.79365,1.25103,0.88261,0.79385,0.88393,0.62403,1.0846,0.92638,1.25248,0.00703,0.00703,0.00703
62,13852.6,0.726,0.78957,1.2514,0.88804,0.79251,0.88374,0.62329,1.08284,0.92661,1.25212,0.0069805,0.0069805,0.0069805
63,14074.9,0.72151,0.79012,1.24639,0.87298,0.79945,0.88327,0.62298,1.08239,0.92534,1.25162,0.006931,0.006931,0.006931
64,14294.1,0.71487,0.77989,1.24205,0.87668,0.79711,0.88298,0.62204,1.08246,0.92462,1.25154,0.0068815,0.0068815,0.0068815
65,14513.2,0.7134,0.77713,1.23998,0.87889,0.79806,0.88314,0.6234,1.0817,0.92078,1.25129,0.006832,0.006832,0.006832
66,14735.5,0.71242,0.77206,1.23935,0.88099,0.79872,0.88153,0.62446,1.08046,0.92005,1.25095,0.0067825,0.0067825,0.0067825
67,14959.2,0.70779,0.7623,1.23384,0.88165,0.79842,0.88105,0.62586,1.0808,0.9188,1.25182,0.006733,0.006733,0.006733
68,15183,0.70944,0.76144,1.23631,0.88002,0.79598,0.88193,0.62615,1.08002,0.91771,1.25183,0.0066835,0.0066835,0.0066835
69,15401.9,0.70699,0.75957,1.23507,0.88011,0.79727,0.88252,0.6255,1.07874,0.91603,1.25075,0.006634,0.006634,0.006634
70,15619.6,0.70531,0.75034,1.23225,0.87949,0.79891,0.88263,0.62701,1.07775,0.91541,1.24994,0.0065845,0.0065845,0.0065845
71,15836.8,0.70397,0.74963,1.23161,0.88272,0.79866,0.88201,0.62775,1.07762,0.9135,1.24973,0.006535,0.006535,0.006535
72,16055.4,0.70118,0.74283,1.22763,0.88078,0.80251,0.8826,0.62894,1.07747,0.91261,1.24926,0.0064855,0.0064855,0.0064855
73,16278.8,0.6932,0.74547,1.22597,0.87958,0.8042,0.88236,0.63002,1.07756,0.91144,1.2492,0.006436,0.006436,0.006436
74,16496.5,0.69679,0.74639,1.2265,0.87937,0.8042,0.88283,0.6304,1.07859,0.90968,1.24955,0.0063865,0.0063865,0.0063865
75,16714.7,0.69692,0.74064,1.22721,0.87899,0.80387,0.88272,0.63057,1.07853,0.90941,1.24937,0.006337,0.006337,0.006337
