epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.112,1.51082,2.39152,1.61137,0.38558,0.45027,0.34027,0.15964,1.74097,2.27605,2.02549,0.000551185,0.000551185,0.000551185
2,98.1598,1.56,2.11839,1.65503,0.43296,0.42463,0.37082,0.16352,1.84992,2.08918,2.08358,0.00109589,0.00109589,0.00109589
3,147.513,1.60714,2.06181,1.71384,0.35923,0.43803,0.34752,0.14068,1.91579,2.1302,2.13106,0.0016296,0.0016296,0.0016296
4,196.377,1.64203,2.02323,1.71761,0.45289,0.42481,0.38098,0.15845,1.83296,2.11764,2.14822,0.00161749,0.00161749,0.00161749
5,243.585,1.60283,1.94919,1.68842,0.41567,0.43506,0.39382,0.15671,1.9641,2.09686,2.13187,0.00160099,0.00160099,0.00160099
6,291.614,1.57765,1.85814,1.67587,0.36227,0.40224,0.293,0.1205,1.81895,2.55523,2.02891,0.00158448,0.00158448,0.00158448
7,338.156,1.56979,1.84504,1.66551,0.39467,0.57583,0.43599,0.19891,1.83863,2.38403,2.09468,0.00156798,0.00156798,0.00156798
8,387.314,1.54255,1.7653,1.64923,0.55428,0.51051,0.53409,0.24315,1.76851,1.69611,1.90799,0.00155148,0.00155148,0.00155148
9,434.462,1.49722,1.69317,1.61363,0.61658,0.56471,0.6142,0.28831,1.70004,1.61728,1.89636,0.00153497,0.00153497,0.00153497
10,483.767,1.49097,1.66812,1.61478,0.60299,0.61811,0.63408,0.33621,1.54963,1.50413,1.75392,0.00151847,0.00151847,0.00151847
11,531.993,1.46456,1.62836,1.58259,0.65725,0.60986,0.64931,0.32275,1.64068,1.58594,1.88087,0.00150197,0.00150197,0.00150197
12,580.267,1.50467,1.67051,1.61182,0.51859,0.56048,0.52689,0.25827,1.71499,1.81359,1.9584,0.00148546,0.00148546,0.00148546
13,625.937,1.43648,1.64733,1.55952,0.63066,0.60453,0.64011,0.32455,1.6241,1.48082,1.80569,0.00146896,0.00146896,0.00146896
14,674.389,1.453,1.55319,1.57177,0.69533,0.59452,0.66187,0.34171,1.61092,1.5033,1.78918,0.00145246,0.00145246,0.00145246
15,723.687,1.46089,1.56604,1.57436,0.67503,0.6082,0.66968,0.34653,1.55044,1.45241,1.7744,0.00143595,0.00143595,0.00143595
16,770.781,1.4238,1.50964,1.5571,0.70825,0.65768,0.71677,0.38592,1.4959,1.35074,1.71551,0.00141945,0.00141945,0.00141945
17,818.483,1.40538,1.48544,1.5379,0.70319,0.63715,0.71089,0.38333,1.462,1.35742,1.68494,0.00140295,0.00140295,0.00140295
18,865.348,1.38116,1.44301,1.52208,0.72731,0.64022,0.72845,0.39688,1.4923,1.30223,1.68516,0.00138644,0.00138644,0.00138644
19,912.65,1.37577,1.44759,1.51296,0.72784,0.66774,0.73876,0.40804,1.4572,1.27477,1.68862,0.00136994,0.00136994,0.00136994
20,960.815,1.37387,1.43091,1.5053,0.66416,0.68807,0.74332,0.40207,1.47198,1.28461,1.66393,0.00135344,0.00135344,0.00135344
21,1005.89,1.35665,1.4068,1.5046,0.76598,0.64128,0.7487,0.40989,1.48654,1.26977,1.67808,0.00133693,0.00133693,0.00133693
22,1051.18,1.39211,1.42775,1.5223,0.69465,0.6906,0.74899,0.42415,1.40743,1.26347,1.61282,0.00132043,0.00132043,0.00132043
23,1098.61,1.33958,1.36481,1.48739,0.72536,0.70208,0.76601,0.43362,1.42232,1.2267,1.63418,0.00130393,0.00130393,0.00130393
24,1144.5,1.33803,1.33537,1.47935,0.75097,0.67351,0.76573,0.4246,1.43801,1.23763,1.63898,0.00128742,0.00128742,0.00128742
25,1190.9,1.33227,1.32566,1.48389,0.75902,0.68521,0.76701,0.4307,1.45043,1.22366,1.67801,0.00127092,0.00127092,0.00127092
26,1237.17,1.32853,1.31976,1.47252,0.79234,0.71983,0.80528,0.43723,1.50744,1.15273,1.67971,0.00125442,0.00125442,0.00125442
27,1285.23,1.31072,1.30702,1.46822,0.7611,0.69893,0.78238,0.4414,1.43208,1.17188,1.63918,0.00123791,0.00123791,0.00123791
28,1332.1,1.30402,1.2699,1.46254,0.74567,0.72987,0.78658,0.43661,1.42634,1.16218,1.63715,0.00122141,0.00122141,0.00122141
29,1378.17,1.29943,1.2709,1.45259,0.76623,0.7405,0.80944,0.45963,1.41035,1.09509,1.60995,0.00120491,0.00120491,0.00120491
30,1426.58,1.27513,1.23351,1.42538,0.77803,0.68381,0.79676,0.45076,1.39518,1.09888,1.61269,0.0011884,0.0011884,0.0011884
31,1474.9,1.27933,1.23377,1.42825,0.76298,0.70727,0.80377,0.4718,1.3389,1.0565,1.54867,0.0011719,0.0011719,0.0011719
32,1523.13,1.26133,1.20916,1.42902,0.78647,0.76768,0.82734,0.48404,1.35528,1.01714,1.55145,0.0011554,0.0011554,0.0011554
33,1571.04,1.25465,1.18432,1.40797,0.74895,0.73129,0.79427,0.46266,1.36615,1.09005,1.57337,0.00113889,0.00113889,0.00113889
34,1617.98,1.25981,1.2058,1.41901,0.77906,0.77593,0.84167,0.49061,1.39027,1.00324,1.59253,0.00112239,0.00112239,0.00112239
35,1665.85,1.2609,1.18353,1.42072,0.76267,0.75359,0.82118,0.47929,1.34905,1.01776,1.55647,0.00110589,0.00110589,0.00110589
36,1715.16,1.26146,1.17841,1.41883,0.78677,0.71876,0.80327,0.4618,1.39709,1.0499,1.59968,0.00108938,0.00108938,0.00108938
37,1761.36,1.24774,1.15431,1.40264,0.73661,0.71258,0.79775,0.45812,1.41038,1.11016,1.59125,0.00107288,0.00107288,0.00107288
38,1809.67,1.23011,1.141,1.39332,0.78553,0.77722,0.8471,0.50834,1.30576,0.97986,1.51896,0.00105638,0.00105638,0.00105638
39,1856.01,1.23567,1.14029,1.3928,0.79694,0.74593,0.8328,0.49473,1.35379,0.98887,1.54712,0.00103987,0.00103987,0.00103987
40,1901.83,1.22182,1.12808,1.38067,0.78906,0.77985,0.85391,0.51325,1.32828,0.94596,1.52414,0.00102337,0.00102337,0.00102337
41,1949.56,1.18502,1.07949,1.36555,0.77238,0.80898,0.8514,0.51304,1.31308,0.9592,1.54702,0.00100687,0.00100687,0.00100687
42,1997.14,1.19639,1.06735,1.37109,0.79638,0.8092,0.86741,0.53357,1.28534,0.89222,1.49005,0.000990365,0.000990365,0.000990365
43,2043.19,1.18374,1.06172,1.36269,0.82843,0.80593,0.87823,0.53502,1.27495,0.86802,1.47853,0.000973861,0.000973861,0.000973861
44,2089.57,1.1862,1.0729,1.3619,0.82891,0.79464,0.86962,0.52797,1.30567,0.90901,1.51127,0.000957358,0.000957358,0.000957358
45,2136.78,1.1817,1.03367,1.35817,0.81198,0.8143,0.86502,0.52159,1.33332,0.89291,1.53911,0.000940855,0.000940855,0.000940855
46,2182.63,1.17753,1.05017,1.35639,0.82447,0.76477,0.85672,0.52106,1.32011,0.9217,1.52571,0.000924352,0.000924352,0.000924352
47,2228.04,1.18411,1.05875,1.34739,0.82944,0.75785,0.84002,0.5109,1.30111,0.93138,1.52461,0.000907848,0.000907848,0.000907848
48,2277.78,1.16674,1.02611,1.35653,0.8407,0.78636,0.86676,0.53475,1.25114,0.88889,1.4697,0.000891345,0.000891345,0.000891345
49,2324.17,1.15434,1.05159,1.33786,0.82403,0.79898,0.86977,0.52417,1.29016,0.89709,1.48716,0.000874842,0.000874842,0.000874842
50,2370.79,1.15088,1.00345,1.34641,0.80317,0.83772,0.87149,0.53921,1.28053,0.84974,1.49018,0.000858338,0.000858338,0.000858338
51,2418.8,1.14245,0.98973,1.32823,0.81106,0.80336,0.85186,0.52708,1.27995,0.87646,1.4963,0.000841835,0.000841835,0.000841835
52,2465.49,1.11759,0.96666,1.30669,0.83514,0.80527,0.86361,0.54163,1.25707,0.8424,1.47723,0.000825332,0.000825332,0.000825332
53,2512.95,1.13706,0.9805,1.32597,0.85671,0.7998,0.88388,0.56195,1.23334,0.80795,1.44677,0.000808828,0.000808828,0.000808828
54,2562.67,1.11737,0.95724,1.31278,0.85511,0.80708,0.87991,0.5603,1.2402,0.82506,1.46173,0.000792325,0.000792325,0.000792325
55,2608.99,1.10757,0.9369,1.29776,0.84134,0.82112,0.88319,0.55984,1.24143,0.825,1.44687,0.000775822,0.000775822,0.000775822
56,2655.12,1.10188,0.95068,1.31185,0.86545,0.81096,0.8891,0.55901,1.2369,0.79771,1.45433,0.000759318,0.000759318,0.000759318
57,2703.14,1.10378,0.92567,1.29472,0.85465,0.8464,0.90127,0.57473,1.22353,0.77363,1.44493,0.000742815,0.000742815,0.000742815
58,2750.79,1.10516,0.94503,1.30439,0.8226,0.83709,0.88364,0.56578,1.19213,0.79629,1.42319,0.000726312,0.000726312,0.000726312
59,2799.82,1.10852,0.9534,1.3054,0.83508,0.82434,0.88172,0.55622,1.22518,0.79153,1.44566,0.000709809,0.000709809,0.000709809
60,2846.99,1.08577,0.91116,1.28641,0.85396,0.82999,0.8919,0.56794,1.22582,0.78376,1.43016,0.000693305,0.000693305,0.000693305
61,2893.23,1.09828,0.91749,1.29973,0.85336,0.84477,0.90361,0.58688,1.19074,0.78893,1.41113,0.000676802,0.000676802,0.000676802
62,2940.07,1.06839,0.91625,1.28229,0.84339,0.85307,0.89757,0.58044,1.17595,0.75583,1.3993,0.000660299,0.000660299,0.000660299
63,2987.67,1.05473,0.94373,1.26073,0.84722,0.83376,0.90021,0.59034,1.16143,0.76753,1.39153,0.000643795,0.000643795,0.000643795
64,3034.27,1.0456,0.86938,1.2639,0.85642,0.85791,0.90334,0.58724,1.19191,0.74071,1.41454,0.000627292,0.000627292,0.000627292
65,3081.85,1.06405,0.88237,1.27772,0.87025,0.82735,0.90474,0.57467,1.21828,0.76113,1.43661,0.000610789,0.000610789,0.000610789
66,3129.37,1.04313,0.85944,1.26993,0.83753,0.84211,0.89116,0.58126,1.16894,0.7621,1.41859,0.000594286,0.000594286,0.000594286
67,3175.3,1.05871,0.85811,1.26453,0.87123,0.82808,0.90184,0.59226,1.16066,0.73766,1.38973,0.000577782,0.000577782,0.000577782
68,3220.86,1.03085,0.82603,1.2597,0.83496,0.85196,0.90072,0.58722,1.17307,0.75961,1.40767,0.000561279,0.000561279,0.000561279
69,3267.77,1.04364,0.8456,1.25941,0.86259,0.84919,0.90119,0.58935,1.17552,0.74324,1.40336,0.000544776,0.000544776,0.000544776
70,3315.35,1.01088,0.83968,1.24573,0.84218,0.84378,0.90166,0.59439,1.15808,0.73931,1.38841,0.000528272,0.000528272,0.000528272
71,3361.59,1.04452,0.86507,1.27717,0.88247,0.82643,0.91193,0.59955,1.15866,0.73865,1.39117,0.000511769,0.000511769,0.000511769
72,3408.25,1.01057,0.82233,1.24118,0.87821,0.84885,0.91323,0.60549,1.15089,0.69772,1.38203,0.000495266,0.000495266,0.000495266
