epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,236.681,0.64853,0.7022,1.20768,0.82319,0.78585,0.84794,0.59466,1.11274,1.04361,1.27633,0.00333057,0.00333057,0.00333057
2,459.596,0.66985,0.72293,1.22018,0.84509,0.7947,0.86716,0.5931,1.13852,1.0153,1.30346,0.00663092,0.00663092,0.00663092
3,681.886,0.71703,0.78791,1.24655,0.80503,0.77566,0.82559,0.54514,1.27843,1.1497,1.43369,0.00989827,0.00989827,0.00989827
4,901.746,0.76826,0.86642,1.2859,0.82437,0.7679,0.83237,0.53971,1.23346,1.1438,1.38753,0.0098515,0.0098515,0.0098515
5,1123.17,0.78045,0.8809,1.29208,0.83368,0.73932,0.81802,0.53351,1.22268,1.20809,1.37067,0.009802,0.009802,0.009802
6,1365.03,0.7772,0.88408,1.28816,0.81221,0.75832,0.82975,0.54852,1.23512,1.17332,1.3907,0.0097525,0.0097525,0.0097525
7,1609.08,0.77846,0.87922,1.29264,0.77706,0.75624,0.81309,0.5395,1.22598,1.19066,1.38513,0.009703,0.009703,0.009703
8,1837.07,0.77602,0.88033,1.28886,0.79354,0.79718,0.83196,0.55698,1.20734,1.11208,1.36114,0.0096535,0.0096535,0.0096535
9,2093.71,0.7764,0.87998,1.28984,0.78941,0.75972,0.82308,0.55752,1.17595,1.13748,1.35544,0.009604,0.009604,0.009604
10,2348.58,0.77057,0.86605,1.28579,0.83373,0.75614,0.83535,0.54355,1.21515,1.15895,1.37649,0.0095545,0.0095545,0.0095545
11,2577.92,0.767,0.86375,1.28092,0.84842,0.76773,0.85315,0.56245,1.22288,1.08773,1.35995,0.009505,0.009505,0.009505
12,2801.98,0.76792,0.86139,1.28281,0.81136,0.76739,0.83614,0.5673,1.19673,1.09813,1.332,0.0094555,0.0094555,0.0094555
13,3026.85,0.76208,0.85421,1.2777,0.83925,0.74668,0.83055,0.54009,1.22351,1.11868,1.36493,0.009406,0.009406,0.009406
14,3260.76,0.7617,0.85141,1.27589,0.83384,0.80312,0.85045,0.57382,1.15883,1.07116,1.3221,0.0093565,0.0093565,0.0093565
15,3516.76,0.75445,0.84208,1.27038,0.82957,0.80171,0.85506,0.5652,1.20471,1.10255,1.34923,0.009307,0.009307,0.009307
16,3772.47,0.7555,0.84017,1.27105,0.83148,0.79016,0.85649,0.58106,1.16987,1.05985,1.31896,0.0092575,0.0092575,0.0092575
17,4019.36,0.75402,0.83975,1.27034,0.82,0.80144,0.85113,0.58625,1.14331,1.04011,1.29272,0.009208,0.009208,0.009208
18,4273.84,0.75178,0.83172,1.26908,0.7973,0.78114,0.84286,0.57631,1.14757,1.10102,1.30977,0.0091585,0.0091585,0.0091585
19,4531,0.74902,0.82019,1.26375,0.81357,0.80259,0.86816,0.59407,1.14174,1.01788,1.29276,0.009109,0.009109,0.009109
20,4786.5,0.74727,0.82433,1.26641,0.83797,0.82197,0.8649,0.58969,1.15338,1.04362,1.30803,0.0090595,0.0090595,0.0090595
21,5041.35,0.74331,0.81395,1.26147,0.85202,0.80329,0.87263,0.6029,1.14571,1.01986,1.30298,0.00901,0.00901,0.00901
22,5296.89,0.74314,0.81316,1.26013,0.86154,0.80797,0.8757,0.59544,1.1534,1.01299,1.30697,0.0089605,0.0089605,0.0089605
23,5564.52,0.74223,0.80994,1.26037,0.87159,0.79303,0.87114,0.60343,1.15393,0.98553,1.31339,0.008911,0.008911,0.008911
24,5816.07,0.73794,0.81195,1.25736,0.85467,0.80877,0.8719,0.61876,1.10247,0.96477,1.27263,0.0088615,0.0088615,0.0088615
25,6067.89,0.73303,0.79815,1.25375,0.8801,0.80578,0.87429,0.61155,1.13137,0.97577,1.29065,0.008812,0.008812,0.008812
26,6320.72,0.73701,0.79729,1.255,0.85342,0.80818,0.87592,0.60944,1.12151,0.96146,1.28149,0.0087625,0.0087625,0.0087625
27,6573.95,0.73264,0.79863,1.25253,0.85806,0.78946,0.87714,0.61524,1.10993,0.97882,1.26613,0.008713,0.008713,0.008713
28,6826.49,0.73189,0.7915,1.25094,0.8809,0.78065,0.87761,0.61434,1.11136,0.93899,1.27565,0.0086635,0.0086635,0.0086635
29,7079.86,0.72714,0.78677,1.24843,0.87497,0.78708,0.87546,0.61803,1.0907,0.95406,1.26216,0.008614,0.008614,0.008614
30,7330.74,0.72394,0.78107,1.24629,0.87276,0.81617,0.88802,0.62794,1.08944,0.94416,1.2475,0.0085645,0.0085645,0.0085645
31,7585.63,0.72885,0.78527,1.24552,0.86549,0.81573,0.88835,0.62902,1.09616,0.92824,1.2646,0.008515,0.008515,0.008515
32,7839.07,0.7218,0.78041,1.24446,0.83938,0.84239,0.89002,0.62522,1.09551,0.92486,1.26898,0.0084655,0.0084655,0.0084655
