epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.5784,3.34326,4.53335,4.19159,0.00074,0.23602,0.00082,0.00027,2.96232,3.65152,4.08675,0.000253547,0.000253547,0.000253547
2,64.0624,3.15599,4.44001,3.90438,0.00213,0.35425,0.00395,0.00089,3.05175,4.39314,4.40614,0.000504833,0.000504833,0.000504833
3,96.9986,2.91577,4.27807,3.46225,0.33875,0.0596,0.01722,0.00343,2.93607,4.40649,3.58023,0.000751043,0.000751043,0.000751043
4,128.41,2.60302,4.0898,3.12668,0.00348,0.51797,0.01658,0.00387,2.43191,3.83143,3.32806,0.000746161,0.000746161,0.000746161
5,160.286,2.33764,3.89497,2.85744,0.01735,0.27934,0.02229,0.00628,2.14723,4.60141,2.97299,0.000738548,0.000738548,0.000738548
6,192.947,2.12423,3.69325,2.63775,0.46537,0.04519,0.08068,0.02821,2.09162,3.32326,2.91661,0.000730935,0.000730935,0.000730935
7,225.27,2.02544,3.51983,2.50437,0.27225,0.05823,0.06582,0.02413,2.05683,3.48195,2.78243,0.000723321,0.000723321,0.000723321
8,256.173,1.92829,3.38164,2.40016,0.41248,0.14106,0.10979,0.03648,2.19554,2.85248,2.84558,0.000715708,0.000715708,0.000715708
9,287.214,1.86782,3.307,2.34743,0.27231,0.12069,0.09566,0.04395,1.79542,3.07165,2.53562,0.000708095,0.000708095,0.000708095
10,318.055,1.81646,3.16389,2.26018,0.32055,0.16703,0.15541,0.06611,2.04275,2.90651,2.72188,0.000700482,0.000700482,0.000700482
11,351.941,1.76662,3.10816,2.22802,0.32154,0.20153,0.12689,0.05407,1.8873,2.9813,2.58877,0.000692869,0.000692869,0.000692869
12,382.266,1.72973,3.03507,2.18771,0.27771,0.25576,0.19576,0.09465,1.771,2.65575,2.53464,0.000685256,0.000685256,0.000685256
13,413.728,1.70308,2.92744,2.13085,0.2707,0.29007,0.18784,0.08676,1.7534,2.92076,2.45689,0.000677643,0.000677643,0.000677643
14,444.731,1.66494,2.8929,2.10376,0.22407,0.29228,0.20689,0.11353,1.6732,2.81898,2.41794,0.00067003,0.00067003,0.00067003
15,476.178,1.59925,2.84456,2.06726,0.2066,0.37491,0.2193,0.10597,1.65897,2.60843,2.4093,0.000662417,0.000662417,0.000662417
