epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.2568,1.31691,2.13342,1.53551,0.90701,0.08675,0.5912,0.34943,1.16963,2.57471,1.59404,0.00062,0.00062,0.00062
2,34.2844,1.38759,1.849,1.59671,0.64205,0.49333,0.5399,0.25903,1.7533,2.15475,2.21297,0.00124753,0.00124753,0.00124753
3,49.5057,1.50517,1.89437,1.70369,0.33537,0.36444,0.29453,0.12906,1.90068,6.31905,3.14698,0.00186238,0.00186238,0.00186238
4,64.7376,1.56506,1.8862,1.7075,0.27065,0.33809,0.23228,0.08241,2.4718,5.09292,2.98495,0.0019406,0.0019406,0.0019406
5,80.3282,1.53394,1.82817,1.70514,0.10137,0.13333,0.08119,0.03674,2.44466,3.72216,3.05924,0.0019208,0.0019208,0.0019208
6,94.8684,1.48731,1.7089,1.65941,0.47974,0.4795,0.44357,0.22459,1.87799,2.32167,2.33744,0.001901,0.001901,0.001901
7,111.363,1.50039,1.69323,1.6848,0.4966,0.40889,0.42246,0.22003,1.7635,3.22342,2.30519,0.0018812,0.0018812,0.0018812
8,125.928,1.50913,1.69961,1.70526,0.66485,0.54667,0.61077,0.30712,1.63393,1.91876,2.1062,0.0018614,0.0018614,0.0018614
9,141.086,1.44476,1.60525,1.64428,0.72303,0.61492,0.7067,0.40453,1.473,1.55889,1.89487,0.0018416,0.0018416,0.0018416
10,156.255,1.46322,1.56073,1.65277,0.77055,0.67556,0.76347,0.38188,1.55851,1.43625,1.91079,0.0018218,0.0018218,0.0018218
11,171.683,1.44448,1.53678,1.63314,0.56934,0.59556,0.55646,0.26493,1.87894,1.74195,2.19977,0.001802,0.001802,0.001802
12,187.156,1.42168,1.52242,1.60911,0.71662,0.55556,0.66524,0.38655,1.45673,1.55583,1.86371,0.0017822,0.0017822,0.0017822
13,201.833,1.41367,1.53407,1.62317,0.6619,0.63111,0.59905,0.29125,1.64752,1.64775,2.0044,0.0017624,0.0017624,0.0017624
14,217.412,1.34313,1.42074,1.55574,0.68143,0.72889,0.71187,0.41837,1.37871,1.49432,1.83304,0.0017426,0.0017426,0.0017426
15,232.405,1.32644,1.39983,1.57107,0.78662,0.58983,0.70576,0.39781,1.43333,1.44203,1.77252,0.0017228,0.0017228,0.0017228
16,247.924,1.32364,1.39443,1.5869,0.75984,0.69333,0.7593,0.45427,1.35269,1.31879,1.71121,0.001703,0.001703,0.001703
17,262.743,1.3267,1.36771,1.53049,0.71806,0.62667,0.71893,0.40991,1.49679,1.46396,1.80933,0.0016832,0.0016832,0.0016832
18,277.433,1.30674,1.4162,1.55252,0.76623,0.68,0.77447,0.45029,1.3678,1.4326,1.73449,0.0016634,0.0016634,0.0016634
19,291.249,1.29543,1.3411,1.52525,0.74804,0.72,0.78071,0.46825,1.36936,1.21511,1.7564,0.0016436,0.0016436,0.0016436
20,306.813,1.28504,1.29616,1.52479,0.74105,0.7377,0.81611,0.49643,1.3388,1.10791,1.72138,0.0016238,0.0016238,0.0016238
21,321.265,1.28562,1.32623,1.51063,0.76236,0.71292,0.796,0.50625,1.28744,1.15195,1.65055,0.001604,0.001604,0.001604
22,335.908,1.28022,1.28411,1.50646,0.79038,0.74222,0.80639,0.51659,1.27496,1.13091,1.64234,0.0015842,0.0015842,0.0015842
23,351.195,1.21816,1.24406,1.44172,0.80703,0.75556,0.80192,0.51794,1.26028,1.23361,1.62861,0.0015644,0.0015644,0.0015644
24,367.069,1.22375,1.22896,1.48954,0.80881,0.73328,0.81225,0.504,1.28096,1.16711,1.60411,0.0015446,0.0015446,0.0015446
25,383.995,1.2063,1.21993,1.46366,0.69848,0.78222,0.78515,0.4792,1.38611,1.21702,1.73271,0.0015248,0.0015248,0.0015248
26,398.343,1.23805,1.24685,1.46225,0.76201,0.72,0.79321,0.48679,1.32424,1.20597,1.77115,0.001505,0.001505,0.001505
27,412.413,1.22131,1.25447,1.47682,0.80633,0.74018,0.82258,0.51927,1.2759,1.07165,1.6502,0.0014852,0.0014852,0.0014852
28,427.107,1.21067,1.21253,1.44833,0.80494,0.78667,0.83409,0.54487,1.22842,1.07104,1.62133,0.0014654,0.0014654,0.0014654
29,441.783,1.21059,1.21247,1.46497,0.73505,0.67815,0.74714,0.46905,1.32914,1.31314,1.67813,0.0014456,0.0014456,0.0014456
30,456.109,1.20655,1.18619,1.44334,0.81114,0.70667,0.82459,0.49511,1.33627,1.14334,1.68779,0.0014258,0.0014258,0.0014258
31,470.414,1.1869,1.20733,1.4392,0.79701,0.80444,0.84154,0.56533,1.19462,1.04426,1.59438,0.001406,0.001406,0.001406
32,485.506,1.14251,1.13119,1.40444,0.81414,0.75928,0.82829,0.53967,1.27009,1.06157,1.70268,0.0013862,0.0013862,0.0013862
33,499.8,1.12463,1.08823,1.38624,0.86109,0.73333,0.83436,0.54869,1.20224,1.03782,1.58869,0.0013664,0.0013664,0.0013664
34,515.06,1.10872,1.07359,1.37302,0.82171,0.78222,0.8434,0.57511,1.18493,0.94574,1.63538,0.0013466,0.0013466,0.0013466
35,530.097,1.1416,1.05869,1.39986,0.87358,0.76783,0.87782,0.58446,1.21515,0.97252,1.59015,0.0013268,0.0013268,0.0013268
36,544.708,1.14184,1.09076,1.40318,0.83067,0.78222,0.84797,0.54281,1.28681,1.05143,1.61585,0.001307,0.001307,0.001307
