epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,313.927,1.27068,2.80111,1.42922,0.46081,0.46001,0.42341,0.23171,1.48787,2.22289,1.57952,0.00333113,0.00333113,0.00333113
2,617.679,1.22835,2.0456,1.3834,0.50569,0.44892,0.42743,0.23596,1.59863,2.05971,1.7375,0.00663147,0.00663147,0.00663147
3,912.295,1.28785,1.94712,1.43333,0.46921,0.41266,0.3858,0.20376,1.68246,2.12672,1.78896,0.00989882,0.00989882,0.00989882
4,1204.85,1.29258,1.87442,1.4456,0.5283,0.46221,0.46442,0.25661,1.59066,1.8445,1.77433,0.0098515,0.0098515,0.0098515
5,1497.77,1.23468,1.71325,1.40276,0.59174,0.54703,0.568,0.32965,1.48321,1.55862,1.61512,0.009802,0.009802,0.009802
6,1789.36,1.1976,1.60596,1.37372,0.56501,0.58138,0.59022,0.34958,1.42024,1.45275,1.57246,0.0097525,0.0097525,0.0097525
7,2082.22,1.17657,1.54846,1.36103,0.64554,0.59918,0.63704,0.38307,1.38727,1.39588,1.53345,0.009703,0.009703,0.009703
8,2374.83,1.14663,1.47917,1.33578,0.61658,0.64442,0.65079,0.39814,1.35616,1.33587,1.4936,0.0096535,0.0096535,0.0096535
9,2667.14,1.1289,1.43781,1.32179,0.62,0.64594,0.66077,0.40788,1.32501,1.2788,1.47183,0.009604,0.009604,0.009604
10,2960.24,1.11212,1.39737,1.31554,0.65177,0.67951,0.69269,0.4238,1.33778,1.21197,1.47416,0.0095545,0.0095545,0.0095545
11,3253.83,1.09794,1.36568,1.30777,0.65234,0.69622,0.72264,0.44314,1.28164,1.18724,1.4271,0.009505,0.009505,0.009505
12,3547.76,1.08544,1.33792,1.29044,0.66145,0.69046,0.71548,0.4522,1.27295,1.15182,1.42124,0.0094555,0.0094555,0.0094555
13,3840.49,1.0792,1.32239,1.28701,0.66944,0.6851,0.71843,0.44839,1.27702,1.14866,1.41588,0.009406,0.009406,0.009406
14,4133.01,1.06933,1.29622,1.28298,0.6819,0.70552,0.73737,0.466,1.25853,1.11091,1.40308,0.0093565,0.0093565,0.0093565
15,4426.91,1.0658,1.29302,1.27772,0.68154,0.72803,0.74495,0.47573,1.23311,1.07532,1.37745,0.009307,0.009307,0.009307
16,4728.08,1.04914,1.25136,1.26845,0.67843,0.73488,0.75286,0.48006,1.23031,1.06229,1.3738,0.0092575,0.0092575,0.0092575
17,5026.59,1.04178,1.2438,1.26184,0.7018,0.71931,0.76602,0.49328,1.20237,1.0462,1.35383,0.009208,0.009208,0.009208
18,5323.71,1.0392,1.23434,1.26103,0.68863,0.74307,0.76535,0.49441,1.19721,1.02332,1.35442,0.0091585,0.0091585,0.0091585
19,5617.31,1.03593,1.21917,1.25898,0.70114,0.7411,0.78349,0.50915,1.18861,1.00438,1.34309,0.009109,0.009109,0.009109
20,5909.74,1.03294,1.21362,1.25435,0.69262,0.75325,0.77962,0.5093,1.17474,0.99082,1.33085,0.0090595,0.0090595,0.0090595
21,6202.56,1.02777,1.20796,1.25089,0.70039,0.75524,0.78808,0.51534,1.16668,0.97199,1.32906,0.00901,0.00901,0.00901
22,6494.94,1.02438,1.18717,1.24678,0.7176,0.753,0.7923,0.51918,1.16565,0.96427,1.32482,0.0089605,0.0089605,0.0089605
23,6787.68,1.01682,1.18179,1.24362,0.72572,0.73856,0.79618,0.52019,1.1539,0.95544,1.31665,0.008911,0.008911,0.008911
24,7080.69,1.01222,1.16707,1.23858,0.71639,0.75549,0.7992,0.52586,1.15228,0.94534,1.31665,0.0088615,0.0088615,0.0088615
25,7378.82,1.01191,1.16326,1.23998,0.73224,0.75276,0.80947,0.53351,1.13568,0.92773,1.30484,0.008812,0.008812,0.008812
26,7673.77,1.01056,1.15824,1.23304,0.71571,0.78361,0.81077,0.53505,1.13603,0.91887,1.30012,0.0087625,0.0087625,0.0087625
27,7971.41,1.00273,1.14458,1.2303,0.7027,0.79388,0.81229,0.53684,1.12823,0.91302,1.29374,0.008713,0.008713,0.008713
28,8264.98,0.99893,1.14458,1.22909,0.72395,0.78041,0.81883,0.54167,1.13286,0.90389,1.30107,0.0086635,0.0086635,0.0086635
29,8557.99,0.99239,1.13138,1.22638,0.72829,0.77625,0.81945,0.54282,1.12794,0.89673,1.29614,0.008614,0.008614,0.008614
30,8850.84,0.99326,1.12513,1.22577,0.71942,0.7895,0.81912,0.54304,1.12586,0.89482,1.29628,0.0085645,0.0085645,0.0085645
31,9151.35,0.99463,1.12546,1.2269,0.71468,0.79686,0.82162,0.54584,1.12404,0.88858,1.29403,0.008515,0.008515,0.008515
32,9448.41,0.9858,1.12029,1.21955,0.72038,0.79134,0.82054,0.54553,1.12361,0.88422,1.29187,0.0084655,0.0084655,0.0084655
33,9740.99,0.9827,1.11177,1.22024,0.72737,0.78529,0.82321,0.54938,1.11871,0.87874,1.28946,0.008416,0.008416,0.008416
34,10033.6,0.9869,1.10744,1.22006,0.72498,0.79596,0.82411,0.55038,1.11158,0.87159,1.28428,0.0083665,0.0083665,0.0083665
35,10329.9,0.98214,1.10244,1.21725,0.72822,0.78875,0.82586,0.55323,1.10708,0.86642,1.27952,0.008317,0.008317,0.008317
36,10630.8,0.98344,1.09449,1.21811,0.73304,0.78817,0.82877,0.55324,1.10307,0.86487,1.27702,0.0082675,0.0082675,0.0082675
37,10950.3,0.98069,1.0878,1.21364,0.72423,0.80828,0.82896,0.55385,1.10201,0.86076,1.27607,0.008218,0.008218,0.008218
38,11287.2,0.97542,1.08826,1.21058,0.72153,0.80917,0.83044,0.55538,1.10144,0.85822,1.27494,0.0081685,0.0081685,0.0081685
39,11628.3,0.97863,1.08774,1.21102,0.72434,0.80843,0.82975,0.55639,1.10025,0.85581,1.27373,0.008119,0.008119,0.008119
40,11963.6,0.97502,1.08181,1.20997,0.72607,0.80878,0.83085,0.55818,1.09967,0.85221,1.27294,0.0080695,0.0080695,0.0080695
41,12301.3,0.97039,1.07662,1.20819,0.72972,0.81017,0.8327,0.55956,1.09735,0.85039,1.27101,0.00802,0.00802,0.00802
42,12631.7,0.97428,1.07743,1.2057,0.72542,0.81443,0.8335,0.55935,1.09682,0.84862,1.26995,0.0079705,0.0079705,0.0079705
43,12988.9,0.96134,1.06146,1.20281,0.72605,0.81434,0.83388,0.56055,1.09445,0.84636,1.2684,0.007921,0.007921,0.007921
44,13340.5,0.96118,1.06066,1.20079,0.72893,0.81273,0.83453,0.56164,1.0925,0.84432,1.26744,0.0078715,0.0078715,0.0078715
45,13655.4,0.96129,1.05989,1.20065,0.73051,0.81357,0.83546,0.56178,1.09051,0.84314,1.26614,0.007822,0.007822,0.007822
46,13975.9,0.9626,1.05903,1.19961,0.73331,0.81112,0.83621,0.56301,1.08908,0.84195,1.26517,0.0077725,0.0077725,0.0077725
47,14312.1,0.96101,1.05522,1.20115,0.73388,0.81247,0.83648,0.56393,1.08786,0.84036,1.26452,0.007723,0.007723,0.007723
48,14645.8,0.95421,1.04787,1.19672,0.7324,0.81293,0.83709,0.56372,1.08709,0.83966,1.26391,0.0076735,0.0076735,0.0076735
49,14980.6,0.95591,1.04901,1.19621,0.73147,0.81188,0.83715,0.56421,1.08652,0.83849,1.26325,0.007624,0.007624,0.007624
50,15313.6,0.95181,1.0411,1.19617,0.72967,0.81711,0.83724,0.56469,1.08512,0.83751,1.26254,0.0075745,0.0075745,0.0075745
51,15628.1,0.95239,1.0456,1.20021,0.72906,0.81679,0.83704,0.56546,1.08453,0.8362,1.26204,0.007525,0.007525,0.007525
52,15922.8,0.94854,1.03576,1.19254,0.72774,0.81857,0.83723,0.56575,1.0838,0.83457,1.26145,0.0074755,0.0074755,0.0074755
53,16214.2,0.94708,1.03377,1.19031,0.72781,0.81923,0.83795,0.56661,1.0825,0.83287,1.26065,0.007426,0.007426,0.007426
54,16515.2,0.94818,1.03146,1.19259,0.72605,0.82331,0.83752,0.56725,1.0816,0.8319,1.25979,0.0073765,0.0073765,0.0073765
55,16813.5,0.95016,1.03234,1.19128,0.72781,0.82026,0.83831,0.568,1.08077,0.83062,1.25896,0.007327,0.007327,0.007327
56,17111.2,0.94737,1.03618,1.19181,0.729,0.82145,0.8383,0.56822,1.07957,0.82973,1.25807,0.0072775,0.0072775,0.0072775
57,17404.3,0.94673,1.02245,1.19084,0.72652,0.82362,0.83836,0.56842,1.07915,0.82828,1.25781,0.007228,0.007228,0.007228
58,17705.9,0.94382,1.02582,1.18751,0.72594,0.82649,0.83863,0.56935,1.07833,0.82671,1.25718,0.0071785,0.0071785,0.0071785
59,18001.2,0.94074,1.01717,1.18878,0.72829,0.82273,0.83854,0.56982,1.07759,0.82531,1.25641,0.007129,0.007129,0.007129
60,18299.5,0.93598,1.00962,1.18403,0.72728,0.82507,0.83916,0.56997,1.0765,0.82377,1.25564,0.0070795,0.0070795,0.0070795
61,18596.5,0.94228,1.02456,1.18523,0.7284,0.82418,0.8403,0.57112,1.07531,0.8218,1.25479,0.00703,0.00703,0.00703
62,18897.8,0.94161,1.00984,1.18411,0.72854,0.82666,0.84021,0.57173,1.0743,0.82094,1.2539,0.0069805,0.0069805,0.0069805
63,19196.2,0.93757,1.00665,1.18356,0.72874,0.82863,0.84073,0.57228,1.07359,0.8195,1.25325,0.006931,0.006931,0.006931
64,19488,0.93791,1.00674,1.1853,0.73234,0.82275,0.8418,0.57228,1.07326,0.81875,1.25295,0.0068815,0.0068815,0.0068815
65,19800.5,0.93744,1.0057,1.18546,0.7322,0.82334,0.84226,0.57273,1.0731,0.81786,1.25267,0.006832,0.006832,0.006832
66,20131.3,0.93684,1.00948,1.18296,0.73138,0.82483,0.84254,0.57271,1.07258,0.81646,1.25225,0.0067825,0.0067825,0.0067825
67,20465.8,0.93548,0.99736,1.18,0.73262,0.82617,0.8432,0.57321,1.07161,0.81573,1.25142,0.006733,0.006733,0.006733
68,20799.1,0.92985,0.99075,1.17673,0.73219,0.8261,0.8431,0.5739,1.07094,0.81449,1.25055,0.0066835,0.0066835,0.0066835
69,21134.6,0.93295,0.9943,1.18152,0.7304,0.82742,0.84329,0.57438,1.07044,0.81302,1.25023,0.006634,0.006634,0.006634
70,21466.6,0.9288,0.99093,1.177,0.73186,0.82617,0.8436,0.57473,1.07007,0.81178,1.24984,0.0065845,0.0065845,0.0065845
71,21793.7,0.93046,0.99147,1.18002,0.72893,0.83179,0.8442,0.57484,1.06952,0.81071,1.24943,0.006535,0.006535,0.006535
72,22086.3,0.92619,0.98946,1.17692,0.73038,0.8306,0.8449,0.57574,1.06959,0.8093,1.2493,0.0064855,0.0064855,0.0064855
73,22380.9,0.92495,0.98521,1.17497,0.7314,0.8303,0.84536,0.57611,1.0691,0.80801,1.24857,0.006436,0.006436,0.006436
74,22673.1,0.92823,0.98363,1.17822,0.73017,0.83148,0.84485,0.57615,1.06856,0.80704,1.24802,0.0063865,0.0063865,0.0063865
75,22966.3,0.924,0.97835,1.1722,0.73192,0.83193,0.84481,0.57683,1.06852,0.80538,1.24787,0.006337,0.006337,0.006337
