epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,141.681,3.41074,4.19151,3.85574,0.44336,0.03767,0.01331,0.00364,2.95715,5.88674,3.68402,0.000368509,0.000368509,0.000368509
2,281.434,2.52489,3.32398,2.79023,0.50696,0.23551,0.07073,0.02317,2.39751,3.58811,2.86454,0.000724213,0.000724213,0.000724213
3,419.496,2.16414,2.8855,2.40345,0.40973,0.20604,0.14456,0.05501,2.18542,3.20359,2.60982,0.00106525,0.00106525,0.00106525
4,556.574,1.98619,2.64352,2.25232,0.36191,0.27702,0.18998,0.07361,2.2015,3.07347,2.60454,0.00104501,0.00104501,0.00104501
5,694.534,1.87884,2.48376,2.149,0.32599,0.28869,0.22579,0.09431,1.9483,2.85977,2.38118,0.00102301,0.00102301,0.00102301
6,834.416,1.79158,2.32529,2.06717,0.32223,0.38885,0.29344,0.13521,1.86711,2.5073,2.31284,0.00100101,0.00100101,0.00100101
7,972.481,1.74023,2.26166,2.01702,0.47421,0.44782,0.41798,0.18466,1.80398,2.29091,2.20427,0.000979013,0.000979013,0.000979013
8,1112.59,1.70805,2.17131,1.97426,0.45864,0.4747,0.45543,0.22477,1.71151,2.18933,2.1804,0.000957015,0.000957015,0.000957015
9,1248.02,1.65383,2.08604,1.93045,0.43933,0.42709,0.39355,0.1797,1.8642,2.27995,2.20657,0.000935018,0.000935018,0.000935018
10,1388.05,1.6426,2.06347,1.91784,0.47608,0.48362,0.48261,0.23763,1.67134,2.10748,2.05413,0.00091302,0.00091302,0.00091302
11,1526.2,1.62316,2.01534,1.88746,0.56807,0.45067,0.50331,0.24775,1.64641,1.99754,2.05879,0.000891022,0.000891022,0.000891022
12,1666.32,1.6009,1.96335,1.86649,0.52966,0.48469,0.47717,0.23748,1.71224,2.03939,2.10524,0.000869024,0.000869024,0.000869024
13,1803.76,1.56611,1.90986,1.84047,0.56488,0.53196,0.5426,0.27871,1.61327,1.92071,2.00915,0.000847026,0.000847026,0.000847026
14,1942.07,1.55688,1.87162,1.82172,0.52605,0.54654,0.52294,0.27104,1.61945,1.90169,1.99031,0.000825029,0.000825029,0.000825029
15,2077.57,1.52891,1.83268,1.80313,0.56661,0.58249,0.58702,0.30405,1.56684,1.81818,1.95029,0.000803031,0.000803031,0.000803031
16,2216.03,1.52471,1.81763,1.7831,0.60672,0.53178,0.57898,0.30717,1.56908,1.88733,1.94202,0.000781033,0.000781033,0.000781033
17,2354,1.5097,1.79158,1.77533,0.60203,0.57631,0.58444,0.31041,1.56727,1.72686,1.92005,0.000759035,0.000759035,0.000759035
18,2495.04,1.4954,1.78097,1.77053,0.67428,0.56789,0.64119,0.33916,1.53787,1.63066,1.93167,0.000737037,0.000737037,0.000737037
19,2635.7,1.48137,1.73422,1.75219,0.6196,0.59574,0.62985,0.34274,1.53729,1.66634,1.88904,0.00071504,0.00071504,0.00071504
20,2775.94,1.46505,1.70467,1.73201,0.65045,0.59705,0.64372,0.34411,1.52094,1.60438,1.86997,0.000693042,0.000693042,0.000693042
21,2912.66,1.46489,1.70372,1.73248,0.61673,0.62099,0.62556,0.33633,1.52063,1.66996,1.86,0.000671044,0.000671044,0.000671044
22,3053.83,1.45161,1.67059,1.71852,0.59358,0.59581,0.62171,0.33857,1.52218,1.6297,1.87267,0.000649046,0.000649046,0.000649046
23,3189.61,1.45321,1.65805,1.71913,0.65205,0.59961,0.65363,0.36284,1.47125,1.59186,1.83167,0.000627048,0.000627048,0.000627048
24,3326.87,1.42749,1.63187,1.6973,0.63389,0.64056,0.66305,0.36641,1.48225,1.52018,1.8362,0.000605051,0.000605051,0.000605051
25,3462.36,1.41862,1.61307,1.68788,0.72008,0.58101,0.67689,0.37241,1.48662,1.49894,1.82839,0.000583053,0.000583053,0.000583053
26,3601.39,1.41013,1.59558,1.68087,0.73077,0.61749,0.69692,0.38734,1.44759,1.50834,1.8014,0.000561055,0.000561055,0.000561055
27,3737.2,1.39996,1.56943,1.66877,0.69845,0.6567,0.7039,0.4033,1.42095,1.43619,1.78907,0.000539057,0.000539057,0.000539057
28,3874.48,1.39401,1.5533,1.66067,0.67559,0.63438,0.68969,0.39115,1.4443,1.40439,1.76509,0.000517059,0.000517059,0.000517059
29,4012.02,1.3789,1.52278,1.65203,0.67193,0.66412,0.71876,0.4176,1.4237,1.40761,1.76211,0.000495062,0.000495062,0.000495062
30,4152.07,1.38972,1.53489,1.65553,0.74003,0.6249,0.7012,0.40795,1.43584,1.42955,1.7915,0.000473064,0.000473064,0.000473064
31,4287.73,1.36479,1.5045,1.63465,0.71931,0.65507,0.72045,0.41051,1.41163,1.39831,1.75633,0.000451066,0.000451066,0.000451066
32,4426.94,1.36391,1.47872,1.62509,0.71714,0.67916,0.73617,0.42963,1.39355,1.33105,1.73343,0.000429068,0.000429068,0.000429068
33,4566.23,1.35781,1.47153,1.62626,0.7201,0.66472,0.74571,0.43463,1.40483,1.35206,1.74616,0.00040707,0.00040707,0.00040707
34,4706.77,1.34632,1.47242,1.61712,0.69638,0.69825,0.74118,0.43435,1.39886,1.31332,1.72545,0.000385073,0.000385073,0.000385073
35,4843.23,1.33344,1.43744,1.60657,0.74922,0.67718,0.74473,0.44072,1.38324,1.31042,1.71497,0.000363075,0.000363075,0.000363075
36,4980.81,1.33051,1.43605,1.60651,0.76665,0.63648,0.74333,0.43349,1.37842,1.29997,1.71579,0.000341077,0.000341077,0.000341077
37,5116.07,1.32557,1.42002,1.59785,0.70028,0.69429,0.73507,0.42833,1.3795,1.30056,1.70619,0.000319079,0.000319079,0.000319079
38,5253.78,1.31987,1.41077,1.59614,0.75023,0.68643,0.75573,0.44748,1.36487,1.26377,1.69771,0.000297081,0.000297081,0.000297081
39,5391.24,1.30772,1.39186,1.5845,0.77197,0.65805,0.76189,0.4533,1.36475,1.25513,1.68618,0.000275084,0.000275084,0.000275084
40,5529.57,1.31588,1.39949,1.58611,0.75023,0.65646,0.74157,0.4385,1.36393,1.27196,1.6902,0.000253086,0.000253086,0.000253086
41,5659.65,1.2946,1.2167,1.59009,0.74072,0.70243,0.76279,0.45052,1.36002,1.25748,1.67963,0.000231088,0.000231088,0.000231088
42,5787.23,1.26592,1.16325,1.56091,0.75497,0.69141,0.76567,0.46482,1.33713,1.21465,1.66176,0.00020909,0.00020909,0.00020909
43,5914.86,1.25811,1.14613,1.55393,0.73738,0.70865,0.77017,0.46968,1.33078,1.18104,1.65999,0.000187092,0.000187092,0.000187092
44,6048.83,1.24019,1.12491,1.54567,0.78664,0.6812,0.77517,0.46773,1.31954,1.17256,1.6518,0.000165095,0.000165095,0.000165095
45,6177.07,1.2302,1.10264,1.53367,0.77262,0.70164,0.7749,0.47722,1.3107,1.16604,1.63459,0.000143097,0.000143097,0.000143097
46,6308.18,1.22181,1.09452,1.52749,0.76278,0.70865,0.77059,0.47408,1.31252,1.15126,1.62956,0.000121099,0.000121099,0.000121099
47,6436.17,1.20798,1.06802,1.51757,0.78147,0.70001,0.78411,0.4823,1.29982,1.12686,1.62312,9.91012e-05,9.91012e-05,9.91012e-05
48,6563.42,1.20295,1.06167,1.5124,0.75761,0.71409,0.76852,0.47098,1.30761,1.13988,1.63476,7.71034e-05,7.71034e-05,7.71034e-05
49,6691.55,1.19066,1.04763,1.50569,0.81823,0.68815,0.78199,0.48469,1.29591,1.12188,1.62102,5.51056e-05,5.51056e-05,5.51056e-05
50,6817.56,1.18401,1.03831,1.49744,0.76092,0.72839,0.7835,0.48403,1.30077,1.12246,1.62054,3.31078e-05,3.31078e-05,3.31078e-05
